AGE,CA_M_2000,CA_F_2000,CA_M_2005,CA_F_2005,CA_M_2010,CA_F_2010
0,1274819,1216029,1306586,1249029,1294323,1237819
5,1391980,1325445,1240455,1186458,1283982,1230434
10,1325664,1262005,1421246,1353839,1329466,1268326
15,1277698,1182284,1390427,1293513,1452533,1366481
20,1258133,1144388,1384388,1264029,1446529,1330147
25,1309119,1229480,1329820,1268181,1410840,1335029
30,1385574,1306036,1308978,1263443,1310062,1274140
35,1429498,1382911,1360247,1322153,1288502,1278971
40,1347785,1333879,1390433,1375746,1316359,1298095
45,1159885,1185267,1311232,1318884,1341292,1346021
50,991293,1030057,1128235,1168475,1271734,1300978
55,716298,761209,948322,1004160,1076335,1140344
60,549353,603439,668608,731803,888083,962848
65,457172,527821,503096,575582,614486,697846
70,399183,505873,404530,489285,446239,530866
75,329378,453297,329285,442881,337697,429774
80,199435,307966,240235,361120,246866,358746
85+,135295,293029,165590,327649,213550,393620
