Age,n,CA_F,CA_M,CA_F_proprate,CA_M_proprate,"Beware - placeholder - just all CA movers by age and sex, using 2013 to 2017 geographic mobility (residence ONE year ago) (accessed via IPUMS - very grateful for IPUMS!)"
0,1,0,0,0,0,
1,1,0.008487201,0.009152291,0.008566651,0.008730133,
2,1,0.008528075,0.008927958,0.008156807,0.008288364,
3,1,0.007539386,0.008063585,0.007155811,0.007523287,
4,1,0.007375515,0.008146651,0.007012797,0.007246858,
5,1,0.00702517,0.007154948,0.00701837,0.006790287,
6,1,0.006254976,0.0069438,0.006126268,0.006623563,
7,1,0.006120112,0.006734158,0.005953372,0.006120139,
8,1,0.006050985,0.006234634,0.005838658,0.005686963,
9,1,0.005592711,0.006045523,0.005318028,0.005530243,
10,1,0.005049865,0.005844357,0.004826035,0.005332917,
11,1,0.005389473,0.005578773,0.005123939,0.005168306,
12,1,0.005251407,0.004828356,0.005051322,0.004517508,
13,1,0.004918391,0.005302264,0.004705998,0.004838557,
14,1,0.004602704,0.004703664,0.004468097,0.004420335,
15,1,0.00470291,0.005099214,0.004515336,0.004731272,
16,1,0.00505495,0.005851514,0.004766622,0.005255169,
17,1,0.005235585,0.004977912,0.004934664,0.004477139,
18,1,0.012565518,0.010736755,0.01120056,0.009356493,
19,1,0.012004777,0.011344773,0.01163001,0.010183406,
20,1,0.012529918,0.011872174,0.010751266,0.009373717,
21,1,0.012055634,0.012439507,0.010643971,0.009979662,
22,1,0.013912274,0.01316619,0.011914199,0.010733381,
23,1,0.013363589,0.013456637,0.011665052,0.010986072,
24,1,0.013591124,0.013805287,0.011976685,0.01138468,
25,1,0.014891733,0.015911312,0.011817829,0.011458611,
26,1,0.014006264,0.014672862,0.011401482,0.011175207,
27,1,0.013409171,0.013668351,0.011213212,0.010838257,
28,1,0.013030196,0.014234742,0.011064904,0.01126941,
29,1,0.012220824,0.013604498,0.010473942,0.011270226,
30,1,0.011946763,0.012808499,0.009594468,0.00951268,
31,1,0.010492078,0.011396006,0.009383295,0.009797987,
32,1,0.010275656,0.011708679,0.008874933,0.009660142,
33,1,0.009080527,0.010397335,0.00809576,0.008984783,
34,1,0.00892419,0.010273395,0.00789916,0.008851681,
35,1,0.008809104,0.009708699,0.007423541,0.008139729,
36,1,0.007783309,0.008864858,0.007225269,0.007926764,
37,1,0.007085444,0.008150983,0.006710991,0.0075797,
38,1,0.006576879,0.007459711,0.006200571,0.006984963,
39,1,0.005836634,0.007031574,0.005700467,0.006804802,
40,1,0.006367802,0.007259675,0.005622119,0.006145747,
