Age,n,FL_F,FL_M,FL_F_proprate,FL_M_proprate,"Beware - placeholder - just all FL movers by age and sex, using 2013 to 2017 geographic mobility (residence ONE year ago) (accessed via IPUMS - very grateful for IPUMS!)"
0,1,0,0,0,0,
1,1,0.007688466,0.008227778,0.008110109,0.008683694,
2,1,0.007417563,0.008065984,0.007746085,0.008161715,
3,1,0.006910984,0.007829373,0.007331733,0.00768217,
4,1,0.006498551,0.006893215,0.006736233,0.006670711,
5,1,0.006450231,0.00708213,0.007125524,0.007228487,
6,1,0.006126332,0.006514762,0.00640092,0.006606549,
7,1,0.00552062,0.006166235,0.005802839,0.006160904,
8,1,0.006040292,0.006187745,0.006096592,0.006114743,
9,1,0.00571951,0.005944899,0.005852245,0.005756201,
10,1,0.005436138,0.005725434,0.005498093,0.005539319,
11,1,0.005385636,0.004937664,0.005292006,0.004988369,
12,1,0.005367867,0.005456713,0.00544081,0.005235221,
13,1,0.005013106,0.004894644,0.005188231,0.004899731,
14,1,0.00518394,0.005448296,0.005274784,0.005088558,
15,1,0.005041162,0.005293361,0.005005031,0.005006071,
16,1,0.004800498,0.005462324,0.004700901,0.005050492,
17,1,0.005098523,0.005273721,0.004900888,0.00502259,
18,1,0.009897774,0.008764907,0.009189194,0.007708351,
19,1,0.009092235,0.009225349,0.009598254,0.009004976,
20,1,0.010705806,0.010424304,0.009298154,0.008578281,
21,1,0.010641276,0.010289944,0.009632974,0.009038431,
22,1,0.011092677,0.011088312,0.010276992,0.009597979,
23,1,0.011657863,0.011376673,0.010778659,0.010064446,
24,1,0.011473312,0.011361086,0.011013573,0.010179098,
25,1,0.012790418,0.013968798,0.010129852,0.010479031,
26,1,0.011473624,0.0127209,0.010184987,0.010178918,
27,1,0.011398806,0.012240507,0.009883993,0.010531133,
28,1,0.010582357,0.010924337,0.009712843,0.009803362,
29,1,0.01000096,0.010235389,0.009290766,0.009784354,
30,1,0.01011724,0.011452738,0.008318751,0.009121222,
31,1,0.00831943,0.008906438,0.007745971,0.008342884,
32,1,0.008257705,0.009761855,0.00790459,0.008950048,
33,1,0.007586839,0.007737721,0.007109908,0.007525367,
34,1,0.007448426,0.008442567,0.006948163,0.007895315,
35,1,0.007585592,0.008749944,0.006606053,0.007590919,
36,1,0.007348045,0.007536648,0.00687487,0.007320406,
37,1,0.00675262,0.006969903,0.00652357,0.006909513,
38,1,0.006124774,0.007203085,0.005927622,0.006871057,
39,1,0.006158753,0.006662527,0.005989276,0.006588847,
40,1,0.006666268,0.007428162,0.005808697,0.006483578,
41,1,0.00582145,0.005928377,0.005665565,0.005864631,
42,1,0.005669008,0.006381336,0.005242773,0.005984867,
43,1,0.006016911,0.005835478,0.005501545,0.005421173,
44,1,0.005386571,0.00612945,0.004711502,0.005649251,
45,1,0.00636045,0.006128826,0.005126792,0.005098107,
46,1,0.005508462,0.006006312,0.004922873,0.005499108,
47,1,0.005302713,0.005786223,0.004624126,0.005204825,
48,1,0.005876004,0.005545559,0.005108489,0.004962426,
49,1,0.005343551,0.005556782,0.004524884,0.004858017,
50,1,0.005767519,0.005965786,0.004293247,0.004554582,
51,1,0.005064855,0.004787717,0.004133983,0.004089514,
52,1,0.005553976,0.00537379,0.004463605,0.004432585,
53,1,0.00510351,0.005079506,0.004111917,0.004273144,
54,1,0.005825502,0.005176458,0.004502396,0.004358784,
55,1,0.005535895,0.005293984,0.0041356,0.004216016,
56,1,0.005250964,0.00463777,0.004198146,0.004078839,
57,1,0.005278709,0.004461948,0.004259458,0.004017193,
58,1,0.004872822,0.004343174,0.003960442,0.003874001,
59,1,0.004717575,0.004351591,0.003924194,0.004072829,
60,1,0.005039915,0.004400535,0.004009075,0.003867682,
61,1,0.004443555,0.003794822,0.003874327,0.003663148,
62,1,0.004692948,0.004185745,0.003925962,0.004096741,
63,1,0.004489069,0.00382132,0.003912232,0.003861477,
64,1,0.004223778,0.003603413,0.003629264,0.003675956,
65,1,0.004705106,0.003853429,0.003860042,0.003754817,
66,1,0.003927935,0.003860911,0.003415803,0.003873957,
67,1,0.003899879,0.003232753,0.003504759,0.003375441,
68,1,0.003475599,0.003102757,0.003236,0.003263102,
69,1,0.003605907,0.003320664,0.00344592,0.003540394,
70,1,0.00337179,0.002925688,0.003238032,0.003168822,
71,1,0.002718069,0.002679413,0.003027105,0.003413061,
72,1,0.002708093,0.002738956,0.002981763,0.003611834,
73,1,0.002649486,0.002190603,0.003109376,0.002999285,
74,1,0.002170652,0.001945263,0.002702988,0.002788341,
75,1,0.002078377,0.001895073,0.00271269,0.002739918,
76,1,0.002255134,0.001629781,0.003120314,0.002734695,
77,1,0.00179251,0.001554652,0.002746572,0.002619519,
78,1,0.001800616,0.001635393,0.002725309,0.0030581,
79,1,0.001635393,0.001423097,0.002846227,0.002789376,
80,1,0.001607648,0.001213296,0.002793123,0.002683395,
81,1,0.001367607,0.001132555,0.002690834,0.002723682,
82,1,0.00164381,0.00122483,0.003267299,0.003031521,
83,1,0.001422474,0.001008794,0.003084071,0.002839372,
84,1,0.001076441,0.001016899,0.002587328,0.003093788,
85,1,0.001102628,0.000850429,0.002661613,0.00286877,
86,1,0.001276891,0.00083796,0.003417472,0.003149341,
87,1,0.00098136,0.000885344,0.002864906,0.003724832,
88,1,0.001000065,0.000648421,0.003318563,0.003232005,
89,1,0.001005364,0.000458883,0.003686618,0.002808674,
90,1,0.000896255,0.000405575,0.003648136,0.003122847,
91,1,0.000642186,0.000341356,0.003468398,0.00311519,
92,1,0,0,0,0,
