Age,n,SarasotaFL_F,SarasotaFL_M,SarasotaFL_F_proprate,SarasotaFL_M_proprate,"Beware - placeholder - just all Sarasota County FL movers by age and sex, using 2013 to 2017 geographic mobility (residence ONE year ago) (accessed via IPUMS - very grateful for IPUMS!)"
0,1,0,0,0,0,
1,1,0.00333003,0.00573415,0.004449652,0.009636324,
2,1,0.005263072,0.008771787,0.006977463,0.009813861,
3,1,0.00376862,0.009843895,0.006004869,0.010089527,
4,1,0.002826465,0.003021393,0.003842593,0.00449636,
5,1,0.003752376,0.006172739,0.004412318,0.00780104,
6,1,0.005587953,0.004207209,0.007959621,0.004709616,
7,1,0.005945323,0.002712756,0.007745268,0.003683069,
8,1,0.006806257,0.002891441,0.009029225,0.0034178,
9,1,0.003687399,0.002599048,0.00351148,0.003357873,
10,1,0.003671155,0.004044769,0.00539993,0.004023705,
11,1,0.003200078,0.00461331,0.003898486,0.005583266,
12,1,0.006221471,0.003427495,0.007265122,0.004868534,
13,1,0.005328049,0.001380744,0.007063604,0.00162358,
14,1,0.00950277,0.00180309,0.009700675,0.001575766,
15,1,0.002550316,0.002696512,0.002964478,0.003030225,
16,1,0.00180309,0.004905703,0.001749093,0.004948104,
17,1,0.005506733,0.00324881,0.007436588,0.003811351,
18,1,0.003654911,0.005409269,0.003979364,0.005019241,
19,1,0.005490489,0.005717906,0.007837302,0.008867044,
20,1,0.007244847,0.011094687,0.007626005,0.010060016,
21,1,0.004580822,0.007131138,0.007236491,0.009417102,
22,1,0.01094849,0.005441757,0.012497307,0.007003781,
23,1,0.010152532,0.00573415,0.011302528,0.007113788,
24,1,0.009535258,0.011175907,0.013292879,0.012194191,
25,1,0.008430662,0.007049918,0.009930661,0.00954601,
26,1,0.010412436,0.008625591,0.014535714,0.008580671,
27,1,0.007488507,0.016520199,0.011087262,0.015979621,
28,1,0.005750394,0.007439775,0.007648519,0.009967438,
29,1,0.007114894,0.008755543,0.006271934,0.010829013,
30,1,0.008479394,0.009340329,0.008865694,0.008882208,
31,1,0.002907685,0.005198096,0.003895571,0.008692269,
32,1,0.004775751,0.007391043,0.006154412,0.011730715,
33,1,0.006660061,0.005945323,0.007224141,0.007790298,
34,1,0.004580822,0.009259109,0.006603877,0.010124531,
35,1,0.005263072,0.00589659,0.004965357,0.007761541,
36,1,0.009470282,0.006448888,0.008783422,0.007627291,
37,1,0.00436965,0.003346274,0.005186259,0.003927963,
38,1,0.002517828,0.002404119,0.003201953,0.003045891,
39,1,0.008414418,0.00633518,0.009648191,0.006237942,
40,1,0.005246828,0.008560615,0.005619097,0.008076368,
41,1,0.008836764,0.003963548,0.0106439,0.005388464,
42,1,0.003021393,0.003914816,0.003208659,0.004795133,
43,1,0.005490489,0.004125989,0.006019895,0.004235364,
44,1,0.003151346,0.003476227,0.004292902,0.004159949,
45,1,0.005311805,0.007943341,0.004323582,0.007343721,
46,1,0.005409269,0.007650948,0.003866124,0.006735695,
47,1,0.00589659,0.005636686,0.005865882,0.006137063,
48,1,0.005263072,0.004028525,0.004707019,0.00426259,
49,1,0.003801108,0.004434626,0.00386471,0.00420136,
50,1,0.006237715,0.002339143,0.004080125,0.001734799,
51,1,0.006042787,0.007309823,0.005141391,0.005860517,
52,1,0.005685418,0.007732168,0.00475947,0.005553749,
53,1,0.006351424,0.005246828,0.004278682,0.005276435,
54,1,0.007439775,0.003557447,0.004822851,0.002667601,
55,1,0.008511883,0.006481376,0.005149223,0.004471668,
56,1,0.004791995,0.003914816,0.003227089,0.003122588,
57,1,0.006952454,0.006351424,0.004806485,0.004856054,
58,1,0.007163626,0.006318936,0.004762559,0.004234295,
59,1,0.006432644,0.005441757,0.004839709,0.004184215,
60,1,0.007423531,0.004905703,0.00453001,0.003590991,
61,1,0.006838745,0.002192947,0.003953144,0.001869749,
62,1,0.009372817,0.005100632,0.004510474,0.003434936,
63,1,0.009681454,0.006984942,0.004781515,0.004825656,
64,1,0.00657884,0.007943341,0.003776004,0.004786728,
65,1,0.010591121,0.008528127,0.005451112,0.005458597,
66,1,0.004743263,0.008316954,0.002380882,0.005189159,
67,1,0.008251978,0.009925115,0.003912613,0.005706326,
68,1,0.010574877,0.007261091,0.004995315,0.003988156,
69,1,0.005782882,0.009372817,0.002889136,0.005114783,
70,1,0.007228603,0.004564578,0.003399574,0.002533162,
71,1,0.003817352,0.00573415,0.002098386,0.003629031,
72,1,0.006237715,0.006432644,0.003344559,0.004088955,
73,1,0.005230584,0.0050519,0.003146388,0.003596764,
74,1,0.003606179,0.005360537,0.002455424,0.003872227,
75,1,0.004093501,0.004190965,0.002424286,0.00259094,
76,1,0.003719888,0.004255941,0.00229901,0.002837828,
77,1,0.003362518,0.00256656,0.00244024,0.002077399,
78,1,0.002940173,0.00248534,0.00225389,0.002625634,
79,1,0.001023375,0.003524959,0.000849343,0.003041243,
80,1,0.002826465,0.001072107,0.00221957,0.001140946,
81,1,0.001738113,0.002290411,0.001555164,0.002731233,
82,1,0.006172739,0.004207209,0.005753984,0.004044467,
83,1,0.004077257,0.005393025,0.004873442,0.005951638,
84,1,0.004564578,0.002875197,0.005560784,0.003540981,
85,1,0.004645798,0.002079238,0.004688284,0.002444921,
86,1,0.004499602,0.001445721,0.004409135,0.002740629,
