PopName,Year,x,n,lx_Female,lx_Male,"Human Life Table Database, August 2022"
Albania,2011,0,1,100000,100000,
Albania,2011,1,4,98579,98369,
Albania,2011,5,5,98160,97841,
Albania,2011,10,5,98012,97719,
Albania,2011,15,5,97881,97567,
Albania,2011,20,5,97703,97245,
Albania,2011,25,5,97504,96875,
Albania,2011,30,5,97282,96395,
Albania,2011,35,5,97066,95786,
Albania,2011,40,5,96682,94826,
Albania,2011,45,5,96082,93737,
Albania,2011,50,5,95299,92276,
Albania,2011,55,5,94139,90182,
Albania,2011,60,5,92646,86951,
Albania,2011,65,5,90089,82369,
Albania,2011,70,5,85621,74705,
Albania,2011,75,5,76923,63412,
Albania,2011,80,5,62306,47358,
Albania,2011,85,5,40010,26509,
Albania,2011,90,5,18639,11088,
Albania,2011,95,Inf,5587,3313,
