PopName,Year,x,n,lx_Female,lx_Male,"Human Life Table Database, August 2022"
Belgium,2010to2012,0,1,100000,100000,
Belgium,2010to2012,1,4,99719,99611,
Belgium,2010to2012,5,5,99555,99366,
Belgium,2010to2012,10,5,99515,99278,
Belgium,2010to2012,15,5,99450,99201,
Belgium,2010to2012,20,5,99345,99071,
Belgium,2010to2012,25,5,99262,98805,
Belgium,2010to2012,30,5,99152,98506,
Belgium,2010to2012,35,5,99012,98199,
Belgium,2010to2012,40,5,98740,97726,
Belgium,2010to2012,45,5,98325,96986,
Belgium,2010to2012,50,5,97654,95884,
Belgium,2010to2012,55,5,96530,94158,
Belgium,2010to2012,60,5,94975,91188,
Belgium,2010to2012,65,5,92530,86728,
Belgium,2010to2012,70,5,88870,80454,
Belgium,2010to2012,75,5,82641,70376,
Belgium,2010to2012,80,5,72543,56325,
Belgium,2010to2012,85,5,56307,37639,
Belgium,2010to2012,90,5,33665,17832,
Belgium,2010to2012,95,5,13723,5019,
Belgium,2010to2012,100,5,2923,1163,
Belgium,2010to2012,105,Inf,398,310,
