PopName,Year,x,n,lx_Female,lx_Male,"Human Life Table Database, August 2022"
Cameroon,2005,0,1,100000,100000,
Cameroon,2005,1,4,92670,91900,
Cameroon,2005,5,5,86003,84324,
Cameroon,2005,10,5,84567,82851,
Cameroon,2005,15,5,83733,81985,
Cameroon,2005,20,5,82545,80618,
Cameroon,2005,25,5,80997,78715,
Cameroon,2005,30,5,79298,76853,
Cameroon,2005,35,5,77523,74823,
Cameroon,2005,40,5,75593,72585,
Cameroon,2005,45,5,73444,69810,
Cameroon,2005,50,5,70995,66401,
Cameroon,2005,55,5,67736,61936,
Cameroon,2005,60,5,63379,56115,
Cameroon,2005,65,5,56826,48348,
Cameroon,2005,70,5,47505,38543,
Cameroon,2005,75,5,34770,26588,
Cameroon,2005,80,5,20336,14302,
Cameroon,2005,85,5,8482,5369,
Cameroon,2005,90,5,2244,1255,
Cameroon,2005,95,Inf,342,167,
