PopName,Year,x,n,lx_Female,lx_Male,"Human Life Table Database, August 2022"
Gambia,1995to1999,0,1,100000,100000,
Gambia,1995to1999,1,4,93354,93196,
Gambia,1995to1999,5,5,83168,82900,
Gambia,1995to1999,10,5,80373,80655,
Gambia,1995to1999,15,5,79397,78888,
Gambia,1995to1999,20,5,78092,77986,
Gambia,1995to1999,25,5,76390,76489,
Gambia,1995to1999,30,5,74800,75871,
Gambia,1995to1999,35,5,72463,73653,
Gambia,1995to1999,40,5,70547,70248,
Gambia,1995to1999,45,5,68899,65700,
Gambia,1995to1999,50,5,66388,61989,
Gambia,1995to1999,55,5,63427,54898,
Gambia,1995to1999,60,5,58617,49690,
Gambia,1995to1999,65,5,51589,40999,
Gambia,1995to1999,70,5,43069,30814,
Gambia,1995to1999,75,5,32813,22078,
Gambia,1995to1999,80,5,22189,13883,
Gambia,1995to1999,85,Inf,13047,6839,
