PopName,Sex,Year,Age,ax_Female,lx_Female,ex_Female,ax_Male,lx_Male,ex_Male,ax_Both,lx_Both,ex_Both,"United States Mortality Database, May 2020"
KY,m,2010-2014,0,0.07,100000,78.53,0.07,100000,73.34,0.07,100000,75.94,
KY,m,2010-2014,1,1.47,99415,77.99,1.88,99241,72.9,1.7,99326,75.45,
KY,m,2010-2014,5,2.4,99304,74.07,2.41,99109,68.99,2.41,99204,71.54,
KY,m,2010-2014,10,2.74,99234,69.12,2.9,99034,64.04,2.83,99131,66.59,
KY,m,2010-2014,15,2.96,99163,64.17,3.1,98937,59.1,3.05,99047,61.65,
KY,m,2010-2014,20,2.57,98986,59.28,2.56,98591,54.3,2.56,98783,56.8,
KY,m,2010-2014,25,2.58,98694,54.45,2.62,97916,49.65,2.61,98295,52.07,
KY,m,2010-2014,30,2.53,98301,49.66,2.57,97032,45.08,2.56,97652,47.4,
KY,m,2010-2014,35,2.63,97678,44.96,2.61,95934,40.57,2.62,96788,42.8,
KY,m,2010-2014,40,2.65,96859,40.31,2.62,94637,36.09,2.63,95726,38.25,
KY,m,2010-2014,45,2.68,95800,35.73,2.67,92938,31.7,2.68,94343,33.77,
KY,m,2010-2014,50,2.63,94125,31.32,2.6,90366,27.53,2.61,92216,29.48,
KY,m,2010-2014,55,2.57,91678,27.08,2.59,86628,23.6,2.58,89122,25.42,
KY,m,2010-2014,60,2.66,88443,22.98,2.6,81634,19.89,2.62,85005,21.52,
KY,m,2010-2014,65,2.65,83990,19.06,2.63,75254,16.35,2.64,79578,17.81,
KY,m,2010-2014,70,2.62,77537,15.42,2.6,66771,13.1,2.61,72098,14.39,
KY,m,2010-2014,75,2.6,68554,12.1,2.56,55656,10.19,2.58,62051,11.29,
KY,m,2010-2014,80,2.56,56530,9.12,2.54,42011,7.67,2.55,49252,8.56,
KY,m,2010-2014,85,2.51,41336,6.53,2.42,27133,5.49,2.47,34317,6.18,
KY,m,2010-2014,90,2.34,23552,4.58,2.2,13011,3.82,2.29,18455,4.36,
KY,m,2010-2014,95,2.08,9038,3.17,1.94,3814,2.71,2.04,6610,3.06,
KY,m,2010-2014,100,1.78,1904,2.26,1.66,579,1.99,1.76,1303,2.21,
KY,m,2010-2014,105,1.5,186,1.71,1.41,40,1.56,1.49,120,1.69,
KY,m,2010-2014,110,1.43,8,1.43,1.34,1,1.34,1.42,5,1.42,
