PopName,Year,Age,ax_Female,lx_Female,ex_Female,ax_Male,lx_Male,ex_Male,ax_Both,lx_Both,ex_Both
KY,2010-2014,0,0.07,100000,78.53,0.07,100000,73.34,0.07,100000,75.94
KY,2010-2014,1,0.5,99415,77.99,0.5,99241,72.9,0.5,99326,75.45
KY,2010-2014,2,0.5,99370,77.02,0.5,99202,71.92,0.5,99284,74.48
KY,2010-2014,3,0.5,99335,76.05,0.5,99169,70.95,0.5,99249,73.51
KY,2010-2014,4,0.5,99317,75.06,0.5,99137,69.97,0.5,99224,72.53
KY,2010-2014,5,0.5,99304,74.07,0.5,99109,68.99,0.5,99204,71.54
KY,2010-2014,6,0.5,99289,73.08,0.5,99090,68,0.5,99187,70.55
KY,2010-2014,7,0.5,99274,72.09,0.5,99076,67.01,0.5,99172,69.57
KY,2010-2014,8,0.5,99261,71.1,0.5,99064,66.02,0.5,99160,68.57
KY,2010-2014,9,0.5,99246,70.12,0.5,99049,65.03,0.5,99145,67.58
KY,2010-2014,10,0.5,99234,69.12,0.5,99034,64.04,0.5,99131,66.59
KY,2010-2014,11,0.5,99222,68.13,0.5,99021,63.05,0.5,99119,65.6
KY,2010-2014,12,0.5,99212,67.14,0.5,99005,62.06,0.5,99106,64.61
KY,2010-2014,13,0.5,99196,66.15,0.5,98991,61.07,0.5,99091,63.62
KY,2010-2014,14,0.5,99181,65.16,0.5,98964,60.08,0.5,99069,62.63
KY,2010-2014,15,0.5,99163,64.17,0.5,98937,59.1,0.5,99047,61.65
KY,2010-2014,16,0.5,99143,63.18,0.5,98905,58.12,0.5,99021,60.66
KY,2010-2014,17,0.5,99116,62.2,0.5,98856,57.15,0.5,98982,59.69
KY,2010-2014,18,0.5,99077,61.23,0.5,98798,56.18,0.5,98933,58.72
KY,2010-2014,19,0.5,99042,60.25,0.5,98704,55.23,0.5,98868,57.75
KY,2010-2014,20,0.5,98986,59.28,0.5,98591,54.3,0.5,98783,56.8
KY,2010-2014,21,0.5,98933,58.31,0.5,98468,53.36,0.5,98693,55.86
KY,2010-2014,22,0.5,98876,57.34,0.5,98328,52.44,0.5,98594,54.91
KY,2010-2014,23,0.5,98817,56.38,0.5,98194,51.51,0.5,98497,53.96
KY,2010-2014,24,0.5,98756,55.41,0.5,98061,50.58,0.5,98399,53.02
KY,2010-2014,25,0.5,98694,54.45,0.5,97916,49.65,0.5,98295,52.07
KY,2010-2014,26,0.5,98624,53.49,0.5,97764,48.73,0.5,98183,51.13
KY,2010-2014,27,0.5,98550,52.53,0.5,97593,47.81,0.5,98060,50.2
KY,2010-2014,28,0.5,98467,51.57,0.5,97418,46.9,0.5,97930,49.26
KY,2010-2014,29,0.5,98379,50.62,0.5,97225,45.99,0.5,97789,48.33
KY,2010-2014,30,0.5,98301,49.66,0.5,97032,45.08,0.5,97652,47.4
KY,2010-2014,31,0.5,98185,48.71,0.5,96830,44.18,0.5,97493,46.48
KY,2010-2014,32,0.5,98054,47.78,0.5,96611,43.27,0.5,97317,45.56
KY,2010-2014,33,0.5,97932,46.84,0.5,96403,42.37,0.5,97152,44.64
KY,2010-2014,34,0.5,97808,45.9,0.5,96168,41.47,0.5,96971,43.72
KY,2010-2014,35,0.5,97678,44.96,0.5,95934,40.57,0.5,96788,42.8
KY,2010-2014,36,0.5,97526,44.03,0.5,95705,39.66,0.5,96597,41.88
KY,2010-2014,37,0.5,97381,43.09,0.5,95456,38.77,0.5,96399,40.97
KY,2010-2014,38,0.5,97219,42.16,0.5,95201,37.87,0.5,96190,40.06
KY,2010-2014,39,0.5,97054,41.23,0.5,94922,36.98,0.5,95967,39.15
KY,2010-2014,40,0.5,96859,40.31,0.5,94637,36.09,0.5,95726,38.25
KY,2010-2014,41,0.5,96686,39.38,0.5,94342,35.2,0.5,95492,37.34
KY,2010-2014,42,0.5,96485,38.47,0.5,94019,34.32,0.5,95229,36.44
KY,2010-2014,43,0.5,96264,37.55,0.5,93670,33.45,0.5,94943,35.55
KY,2010-2014,44,0.5,96037,36.64,0.5,93317,32.57,0.5,94652,34.66
KY,2010-2014,45,0.5,95800,35.73,0.5,92938,31.7,0.5,94343,33.77
KY,2010-2014,46,0.5,95514,34.84,0.5,92511,30.84,0.5,93986,32.89
KY,2010-2014,47,0.5,95224,33.94,0.5,92044,30,0.5,93607,32.03
KY,2010-2014,48,0.5,94882,33.06,0.5,91524,29.17,0.5,93175,31.17
KY,2010-2014,49,0.5,94535,32.18,0.5,90975,28.34,0.5,92726,30.32
KY,2010-2014,50,0.5,94125,31.32,0.5,90366,27.53,0.5,92216,29.48
KY,2010-2014,51,0.5,93702,30.46,0.5,89703,26.73,0.5,91673,28.66
KY,2010-2014,52,0.5,93234,29.61,0.5,88986,25.94,0.5,91080,27.84
KY,2010-2014,53,0.5,92754,28.76,0.5,88246,25.15,0.5,90469,27.02
KY,2010-2014,54,0.5,92225,27.92,0.5,87436,24.38,0.5,89799,26.22
KY,2010-2014,55,0.5,91678,27.08,0.5,86628,23.6,0.5,89122,25.42
KY,2010-2014,56,0.5,91095,26.25,0.5,85738,22.84,0.5,88385,24.63
KY,2010-2014,57,0.5,90437,25.44,0.5,84766,22.1,0.5,87570,23.85
KY,2010-2014,58,0.5,89801,24.62,0.5,83756,21.36,0.5,86747,23.07
KY,2010-2014,59,0.5,89127,23.8,0.5,82717,20.62,0.5,85890,22.3
KY,2010-2014,60,0.5,88443,22.98,0.5,81634,19.89,0.5,85005,21.52
KY,2010-2014,61,0.5,87697,22.17,0.5,80455,19.17,0.5,84041,20.76
KY,2010-2014,62,0.5,86864,21.38,0.5,79275,18.45,0.5,83033,20.01
KY,2010-2014,63,0.5,85974,20.6,0.5,78011,17.74,0.5,81954,19.27
KY,2010-2014,64,0.5,85031,19.82,0.5,76644,17.05,0.5,80796,18.54
KY,2010-2014,65,0.5,83990,19.06,0.5,75254,16.35,0.5,79578,17.81
