PopName,Year,x,n,lx_Female,lx_Male,"Human Life Table Database, August 2022"
Venezuela,2010,0,1,100000,100000,
Venezuela,2010,1,4,98709,98342,
Venezuela,2010,5,5,98543,98052,
Venezuela,2010,10,5,98441,97922,
Venezuela,2010,15,5,98339,97688,
Venezuela,2010,20,5,98122,96451,
Venezuela,2010,25,5,97845,94559,
Venezuela,2010,30,5,97515,92822,
Venezuela,2010,35,5,97080,91371,
Venezuela,2010,40,5,96536,89984,
Venezuela,2010,45,5,95768,88421,
Venezuela,2010,50,5,94574,86225,
Venezuela,2010,55,5,92709,82949,
Venezuela,2010,60,5,89564,77946,
Venezuela,2010,65,5,84381,70601,
Venezuela,2010,70,5,75446,61112,
Venezuela,2010,75,5,63342,48825,
Venezuela,2010,80,5,50224,34528,
Venezuela,2010,85,5,36277,21048,
Venezuela,2010,90,5,23828,10742,
Venezuela,2010,95,5,13361,4607,
Venezuela,2010,100,Inf,6053,1460,
