Area,AreaName,Year,AgeGroup,Total,Male,Female
000,Alaska,2010,0,710231,369628,340603
000,Alaska,2010,1,53996,27896,26100
000,Alaska,2010,2,50887,26038,24849
000,Alaska,2010,3,50816,26147,24669
000,Alaska,2010,4,52141,27179,24962
000,Alaska,2010,5,54419,29706,24713
000,Alaska,2010,6,55419,29307,26112
000,Alaska,2010,7,47706,24861,22845
000,Alaska,2010,8,45833,23731,22102
000,Alaska,2010,9,47141,24646,22495
000,Alaska,2010,10,54726,28398,26328
000,Alaska,2010,11,56300,29288,27012
000,Alaska,2010,12,49971,26394,23577
000,Alaska,2010,13,35938,19231,16707
000,Alaska,2010,14,22202,11714,10488
000,Alaska,2010,15,13148,6662,6486
000,Alaska,2010,16,8892,4150,4742
000,Alaska,2010,17,5985,2620,3365
000,Alaska,2010,18,4711,1660,3051
013,Aleutians East Borough,2010,0,3141,2093,1048
013,Aleutians East Borough,2010,1,123,68,55
013,Aleutians East Borough,2010,2,105,55,50
013,Aleutians East Borough,2010,3,88,40,48
013,Aleutians East Borough,2010,4,104,63,41
013,Aleutians East Borough,2010,5,249,187,62
013,Aleutians East Borough,2010,6,301,208,93
013,Aleutians East Borough,2010,7,213,144,69
013,Aleutians East Borough,2010,8,242,182,60
013,Aleutians East Borough,2010,9,355,251,104
013,Aleutians East Borough,2010,10,431,299,132
013,Aleutians East Borough,2010,11,340,223,117
013,Aleutians East Borough,2010,12,264,174,90
013,Aleutians East Borough,2010,13,171,104,67
013,Aleutians East Borough,2010,14,75,46,29
013,Aleutians East Borough,2010,15,33,18,15
013,Aleutians East Borough,2010,16,25,14,11
013,Aleutians East Borough,2010,17,15,12,3
013,Aleutians East Borough,2010,18,7,5,2
016,Aleutians West Census Area,2010,0,5561,3723,1838
016,Aleutians West Census Area,2010,1,205,106,99
016,Aleutians West Census Area,2010,2,227,113,114
016,Aleutians West Census Area,2010,3,226,129,97
016,Aleutians West Census Area,2010,4,249,149,100
016,Aleutians West Census Area,2010,5,334,233,101
016,Aleutians West Census Area,2010,6,517,375,142
016,Aleutians West Census Area,2010,7,455,319,136
016,Aleutians West Census Area,2010,8,477,344,133
016,Aleutians West Census Area,2010,9,660,464,196
016,Aleutians West Census Area,2010,10,627,432,195
016,Aleutians West Census Area,2010,11,605,420,185
016,Aleutians West Census Area,2010,12,458,299,159
016,Aleutians West Census Area,2010,13,328,222,106
016,Aleutians West Census Area,2010,14,110,70,40
016,Aleutians West Census Area,2010,15,47,34,13
016,Aleutians West Census Area,2010,16,17,8,9
016,Aleutians West Census Area,2010,17,14,6,8
016,Aleutians West Census Area,2010,18,5,0,5
020,Anchorage Municipality,2010,0,291826,148209,143617
020,Anchorage Municipality,2010,1,21961,11349,10612
020,Anchorage Municipality,2010,2,20618,10542,10076
020,Anchorage Municipality,2010,3,20443,10407,10036
020,Anchorage Municipality,2010,4,21187,10990,10197
020,Anchorage Municipality,2010,5,24379,13059,11320
020,Anchorage Municipality,2010,6,24820,12820,12000
020,Anchorage Municipality,2010,7,20620,10458,10162
020,Anchorage Municipality,2010,8,19569,9843,9726
020,Anchorage Municipality,2010,9,19493,9892,9601
020,Anchorage Municipality,2010,10,22394,11157,11237
020,Anchorage Municipality,2010,11,22175,11084,11091
020,Anchorage Municipality,2010,12,19088,9755,9333
020,Anchorage Municipality,2010,13,13940,7186,6754
020,Anchorage Municipality,2010,14,8347,4169,4178
020,Anchorage Municipality,2010,15,4962,2328,2634
020,Anchorage Municipality,2010,16,3482,1533,1949
020,Anchorage Municipality,2010,17,2386,978,1408
