SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,12,1,Florida,Alachua County,1,0,217955,106405,111550
50,12,1,Florida,Alachua County,1,1,11161,5686,5475
50,12,1,Florida,Alachua County,1,2,12089,6281,5808
50,12,1,Florida,Alachua County,1,3,12937,6533,6404
50,12,1,Florida,Alachua County,1,4,22354,10635,11719
50,12,1,Florida,Alachua County,1,5,36011,18015,17996
50,12,1,Florida,Alachua County,1,6,17651,9493,8158
50,12,1,Florida,Alachua County,1,7,13756,7029,6727
50,12,1,Florida,Alachua County,1,8,14299,6982,7317
50,12,1,Florida,Alachua County,1,9,14704,6967,7737
50,12,1,Florida,Alachua County,1,10,14297,6813,7484
50,12,1,Florida,Alachua County,1,11,12384,6110,6274
50,12,1,Florida,Alachua County,1,12,8749,4227,4522
50,12,1,Florida,Alachua County,1,13,6645,3039,3606
50,12,1,Florida,Alachua County,1,14,5646,2641,3005
50,12,1,Florida,Alachua County,1,15,5223,2242,2981
50,12,1,Florida,Alachua County,1,16,4490,1800,2690
50,12,1,Florida,Alachua County,1,17,3059,1200,1859
50,12,1,Florida,Alachua County,1,18,2500,712,1788
50,12,1,Florida,Alachua County,2,0,217955,106405,111550
50,12,1,Florida,Alachua County,2,1,11161,5686,5475
50,12,1,Florida,Alachua County,2,2,12089,6281,5808
50,12,1,Florida,Alachua County,2,3,12937,6533,6404
50,12,1,Florida,Alachua County,2,4,22354,10635,11719
50,12,1,Florida,Alachua County,2,5,36011,18015,17996
50,12,1,Florida,Alachua County,2,6,17651,9493,8158
50,12,1,Florida,Alachua County,2,7,13756,7029,6727
50,12,1,Florida,Alachua County,2,8,14299,6982,7317
50,12,1,Florida,Alachua County,2,9,14704,6967,7737
50,12,1,Florida,Alachua County,2,10,14297,6813,7484
50,12,1,Florida,Alachua County,2,11,12384,6110,6274
50,12,1,Florida,Alachua County,2,12,8749,4227,4522
50,12,1,Florida,Alachua County,2,13,6645,3039,3606
50,12,1,Florida,Alachua County,2,14,5646,2641,3005
50,12,1,Florida,Alachua County,2,15,5223,2242,2981
50,12,1,Florida,Alachua County,2,16,4490,1800,2690
50,12,1,Florida,Alachua County,2,17,3059,1200,1859
50,12,1,Florida,Alachua County,2,18,2500,712,1788
50,12,1,Florida,Alachua County,3,0,218602,106702,111900
50,12,1,Florida,Alachua County,3,1,11128,5667,5461
50,12,1,Florida,Alachua County,3,2,11996,6233,5763
50,12,1,Florida,Alachua County,3,3,12955,6540,6415
50,12,1,Florida,Alachua County,3,4,22553,10719,11834
50,12,1,Florida,Alachua County,3,5,36595,18302,18293
50,12,1,Florida,Alachua County,3,6,17515,9421,8094
50,12,1,Florida,Alachua County,3,7,13727,7015,6712
50,12,1,Florida,Alachua County,3,8,14211,6942,7269
50,12,1,Florida,Alachua County,3,9,14701,6965,7736
50,12,1,Florida,Alachua County,3,10,14337,6833,7504
50,12,1,Florida,Alachua County,3,11,12466,6152,6314
50,12,1,Florida,Alachua County,3,12,8771,4238,4533
50,12,1,Florida,Alachua County,3,13,6647,3041,3606
50,12,1,Florida,Alachua County,3,14,5645,2640,3005
50,12,1,Florida,Alachua County,3,15,5229,2248,2981
50,12,1,Florida,Alachua County,3,16,4515,1812,2703
50,12,1,Florida,Alachua County,3,17,3089,1214,1875
50,12,1,Florida,Alachua County,3,18,2522,720,1802
50,12,1,Florida,Alachua County,4,0,221394,108095,113299
50,12,1,Florida,Alachua County,4,1,11349,5827,5522
50,12,1,Florida,Alachua County,4,2,11514,5960,5554
50,12,1,Florida,Alachua County,4,3,12962,6566,6396
50,12,1,Florida,Alachua County,4,4,23807,11313,12494
50,12,1,Florida,Alachua County,4,5,39220,19414,19806
50,12,1,Florida,Alachua County,4,6,15961,8691,7270
50,12,1,Florida,Alachua County,4,7,13997,7303,6694
50,12,1,Florida,Alachua County,4,8,13584,6670,6914
50,12,1,Florida,Alachua County,4,9,14607,7006,7601
50,12,1,Florida,Alachua County,4,10,14222,6704,7518
50,12,1,Florida,Alachua County,4,11,13060,6364,6696
50,12,1,Florida,Alachua County,4,12,9129,4440,4689
50,12,1,Florida,Alachua County,4,13,6824,3131,3693
50,12,1,Florida,Alachua County,4,14,5639,2607,3032
50,12,1,Florida,Alachua County,4,15,5200,2280,2920
50,12,1,Florida,Alachua County,4,16,4489,1806,2683
50,12,1,Florida,Alachua County,4,17,3234,1242,1992
50,12,1,Florida,Alachua County,4,18,2596,771,1825
50,12,1,Florida,Alachua County,5,0,223994,109336,114658
50,12,1,Florida,Alachua County,5,1,11607,5940,5667
50,12,1,Florida,Alachua County,5,2,11271,5840,5431
50,12,1,Florida,Alachua County,5,3,12813,6513,6300
50,12,1,Florida,Alachua County,5,4,24477,11691,12786
50,12,1,Florida,Alachua County,5,5,41368,20340,21028
50,12,1,Florida,Alachua County,5,6,14645,8011,6634
50,12,1,Florida,Alachua County,5,7,14257,7516,6741
50,12,1,Florida,Alachua County,5,8,13026,6372,6654
50,12,1,Florida,Alachua County,5,9,14433,6998,7435
50,12,1,Florida,Alachua County,5,10,14372,6720,7652
50,12,1,Florida,Alachua County,5,11,13273,6399,6874
50,12,1,Florida,Alachua County,5,12,9933,4880,5053
50,12,1,Florida,Alachua County,5,13,7082,3265,3817
50,12,1,Florida,Alachua County,5,14,5647,2635,3012
50,12,1,Florida,Alachua County,5,15,5105,2238,2867
50,12,1,Florida,Alachua County,5,16,4559,1826,2733
50,12,1,Florida,Alachua County,5,17,3369,1308,2061
50,12,1,Florida,Alachua County,5,18,2757,844,1913
50,12,1,Florida,Alachua County,6,0,225862,110390,115472
50,12,1,Florida,Alachua County,6,1,11740,6077,5663
50,12,1,Florida,Alachua County,6,2,11060,5689,5371
50,12,1,Florida,Alachua County,6,3,12604,6492,6112
50,12,1,Florida,Alachua County,6,4,24421,11579,12842
50,12,1,Florida,Alachua County,6,5,43829,21757,22072
50,12,1,Florida,Alachua County,6,6,13262,7182,6080
50,12,1,Florida,Alachua County,6,7,14238,7533,6705
50,12,1,Florida,Alachua County,6,8,12737,6321,6416
50,12,1,Florida,Alachua County,6,9,14061,6829,7232
50,12,1,Florida,Alachua County,6,10,14469,6789,7680
50,12,1,Florida,Alachua County,6,11,13600,6480,7120
50,12,1,Florida,Alachua County,6,12,10476,5132,5344
50,12,1,Florida,Alachua County,6,13,7577,3546,4031
50,12,1,Florida,Alachua County,6,14,5656,2615,3041
50,12,1,Florida,Alachua County,6,15,5116,2304,2812
