STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
Kentucky,Adair County,1,0,18656,9208,9448
Kentucky,Adair County,1,1,1169,594,575
Kentucky,Adair County,1,2,1127,585,542
Kentucky,Adair County,1,3,1132,589,543
Kentucky,Adair County,1,4,1609,819,790
Kentucky,Adair County,1,5,1405,705,700
Kentucky,Adair County,1,6,1038,542,496
Kentucky,Adair County,1,7,979,485,494
Kentucky,Adair County,1,8,1125,573,552
Kentucky,Adair County,1,9,1159,568,591
Kentucky,Adair County,1,10,1398,668,730
Kentucky,Adair County,1,11,1281,623,658
Kentucky,Adair County,1,12,1225,618,607
Kentucky,Adair County,1,13,1150,566,584
Kentucky,Adair County,1,14,903,452,451
Kentucky,Adair County,1,15,758,354,404
Kentucky,Adair County,1,16,515,230,285
Kentucky,Adair County,1,17,371,142,229
Kentucky,Adair County,1,18,312,95,217
Kentucky,Adair County,2,0,18659,9209,9450
Kentucky,Adair County,2,1,1170,595,575
Kentucky,Adair County,2,2,1129,586,543
Kentucky,Adair County,2,3,1133,589,544
Kentucky,Adair County,2,4,1608,818,790
Kentucky,Adair County,2,5,1405,705,700
Kentucky,Adair County,2,6,1038,542,496
Kentucky,Adair County,2,7,980,485,495
Kentucky,Adair County,2,8,1126,574,552
Kentucky,Adair County,2,9,1159,568,591
Kentucky,Adair County,2,10,1397,668,729
Kentucky,Adair County,2,11,1281,623,658
Kentucky,Adair County,2,12,1225,618,607
Kentucky,Adair County,2,13,1150,566,584
Kentucky,Adair County,2,14,903,452,451
Kentucky,Adair County,2,15,757,353,404
Kentucky,Adair County,2,16,515,230,285
Kentucky,Adair County,2,17,371,142,229
Kentucky,Adair County,2,18,312,95,217
Kentucky,Adair County,3,0,18757,9262,9495
Kentucky,Adair County,3,1,1143,575,568
Kentucky,Adair County,3,2,1124,582,542
Kentucky,Adair County,3,3,1130,586,544
Kentucky,Adair County,3,4,1638,834,804
Kentucky,Adair County,3,5,1482,747,735
Kentucky,Adair County,3,6,1038,545,493
Kentucky,Adair County,3,7,978,488,490
Kentucky,Adair County,3,8,1112,566,546
Kentucky,Adair County,3,9,1159,569,590
Kentucky,Adair County,3,10,1394,667,727
Kentucky,Adair County,3,11,1293,627,666
Kentucky,Adair County,3,12,1232,625,607
Kentucky,Adair County,3,13,1151,561,590
Kentucky,Adair County,3,14,919,464,455
Kentucky,Adair County,3,15,752,348,404
Kentucky,Adair County,3,16,523,235,288
Kentucky,Adair County,3,17,375,148,227
Kentucky,Adair County,3,18,314,95,219
Kentucky,Adair County,4,0,18987,9370,9617
Kentucky,Adair County,4,1,1090,566,524
Kentucky,Adair County,4,2,1167,615,552
Kentucky,Adair County,4,3,1126,580,546
Kentucky,Adair County,4,4,1608,825,783
Kentucky,Adair County,4,5,1619,798,821
Kentucky,Adair County,4,6,1057,554,503
Kentucky,Adair County,4,7,984,481,503
Kentucky,Adair County,4,8,1048,535,513
Kentucky,Adair County,4,9,1172,579,593
Kentucky,Adair County,4,10,1375,664,711
Kentucky,Adair County,4,11,1364,647,717
Kentucky,Adair County,4,12,1249,638,611
Kentucky,Adair County,4,13,1193,574,619
Kentucky,Adair County,4,14,944,484,460
Kentucky,Adair County,4,15,739,333,406
Kentucky,Adair County,4,16,550,246,304
Kentucky,Adair County,4,17,378,153,225
Kentucky,Adair County,4,18,324,98,226
Kentucky,Adair County,5,0,18934,9345,9589
Kentucky,Adair County,5,1,1039,536,503
Kentucky,Adair County,5,2,1135,608,527
Kentucky,Adair County,5,3,1132,583,549
Kentucky,Adair County,5,4,1552,788,764
Kentucky,Adair County,5,5,1668,834,834
Kentucky,Adair County,5,6,1057,553,504
Kentucky,Adair County,5,7,1024,490,534
Kentucky,Adair County,5,8,1011,513,498
Kentucky,Adair County,5,9,1134,566,568
Kentucky,Adair County,5,10,1339,650,689
Kentucky,Adair County,5,11,1380,657,723
Kentucky,Adair County,5,12,1250,629,621
Kentucky,Adair County,5,13,1211,584,627
Kentucky,Adair County,5,14,993,510,483
Kentucky,Adair County,5,15,746,341,405
Kentucky,Adair County,5,16,563,255,308
Kentucky,Adair County,5,17,360,141,219
Kentucky,Adair County,5,18,340,107,233
Kentucky,Adair County,6,0,19124,9470,9654
Kentucky,Adair County,6,1,1003,531,472
Kentucky,Adair County,6,2,1135,607,528
Kentucky,Adair County,6,3,1158,595,563
Kentucky,Adair County,6,4,1598,832,766
Kentucky,Adair County,6,5,1694,845,849
Kentucky,Adair County,6,6,1099,570,529
Kentucky,Adair County,6,7,1029,487,542
Kentucky,Adair County,6,8,1001,500,501
