SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,12,1,Florida,Alachua County,1,0,2286,1140,1146
50,12,1,Florida,Alachua County,1,1,8874,4545,4329
50,12,1,Florida,Alachua County,1,2,12092,6282,5810
50,12,1,Florida,Alachua County,1,3,12937,6533,6404
50,12,1,Florida,Alachua County,1,4,22352,10634,11718
50,12,1,Florida,Alachua County,1,5,36011,18014,17997
50,12,1,Florida,Alachua County,1,6,17646,9488,8158
50,12,1,Florida,Alachua County,1,7,13759,7031,6728
50,12,1,Florida,Alachua County,1,8,14296,6981,7315
50,12,1,Florida,Alachua County,1,9,14707,6967,7740
50,12,1,Florida,Alachua County,1,10,14295,6812,7483
50,12,1,Florida,Alachua County,1,11,12387,6113,6274
50,12,1,Florida,Alachua County,1,12,8752,4228,4524
50,12,1,Florida,Alachua County,1,13,6648,3041,3607
50,12,1,Florida,Alachua County,1,14,5646,2641,3005
50,12,1,Florida,Alachua County,1,15,5226,2244,2982
50,12,1,Florida,Alachua County,1,16,4490,1800,2690
50,12,1,Florida,Alachua County,1,17,3059,1200,1859
50,12,1,Florida,Alachua County,1,18,2501,712,1789
50,12,1,Florida,Alachua County,1,99,217964,106406,111558
50,12,1,Florida,Alachua County,2,0,2303,1148,1155
50,12,1,Florida,Alachua County,2,1,8803,4504,4299
50,12,1,Florida,Alachua County,2,2,12009,6237,5772
50,12,1,Florida,Alachua County,2,3,12969,6548,6421
50,12,1,Florida,Alachua County,2,4,22512,10692,11820
50,12,1,Florida,Alachua County,2,5,36401,18192,18209
50,12,1,Florida,Alachua County,2,6,17552,9439,8113
50,12,1,Florida,Alachua County,2,7,13754,7030,6724
50,12,1,Florida,Alachua County,2,8,14224,6945,7279
50,12,1,Florida,Alachua County,2,9,14724,6975,7749
50,12,1,Florida,Alachua County,2,10,14357,6846,7511
50,12,1,Florida,Alachua County,2,11,12510,6181,6329
50,12,1,Florida,Alachua County,2,12,8804,4252,4552
50,12,1,Florida,Alachua County,2,13,6675,3056,3619
50,12,1,Florida,Alachua County,2,14,5660,2650,3010
50,12,1,Florida,Alachua County,2,15,5236,2250,2986
50,12,1,Florida,Alachua County,2,16,4516,1814,2702
50,12,1,Florida,Alachua County,2,17,3087,1214,1873
50,12,1,Florida,Alachua County,2,18,2515,717,1798
50,12,1,Florida,Alachua County,2,99,218611,106690,111921
50,12,1,Florida,Alachua County,3,0,2443,1292,1151
50,12,1,Florida,Alachua County,3,1,8764,4417,4347
50,12,1,Florida,Alachua County,3,2,11506,5989,5517
50,12,1,Florida,Alachua County,3,3,13010,6549,6461
50,12,1,Florida,Alachua County,3,4,23665,11138,12527
50,12,1,Florida,Alachua County,3,5,39133,19370,19763
50,12,1,Florida,Alachua County,3,6,16223,8749,7474
50,12,1,Florida,Alachua County,3,7,14038,7281,6757
50,12,1,Florida,Alachua County,3,8,13555,6615,6940
50,12,1,Florida,Alachua County,3,9,14633,6984,7649
50,12,1,Florida,Alachua County,3,10,14265,6730,7535
50,12,1,Florida,Alachua County,3,11,13176,6452,6724
50,12,1,Florida,Alachua County,3,12,9258,4522,4736
50,12,1,Florida,Alachua County,3,13,6929,3191,3738
50,12,1,Florida,Alachua County,3,14,5747,2667,3080
50,12,1,Florida,Alachua County,3,15,5208,2272,2936
50,12,1,Florida,Alachua County,3,16,4441,1786,2655
50,12,1,Florida,Alachua County,3,17,3204,1216,1988
50,12,1,Florida,Alachua County,3,18,2520,743,1777
50,12,1,Florida,Alachua County,3,99,221718,107963,113755
50,12,1,Florida,Alachua County,4,0,2422,1226,1196
50,12,1,Florida,Alachua County,4,1,8925,4558,4367
50,12,1,Florida,Alachua County,4,2,11156,5781,5375
50,12,1,Florida,Alachua County,4,3,12861,6541,6320
50,12,1,Florida,Alachua County,4,4,24050,11332,12718
50,12,1,Florida,Alachua County,4,5,41293,20313,20980
50,12,1,Florida,Alachua County,4,6,15715,8494,7221
50,12,1,Florida,Alachua County,4,7,14273,7462,6811
50,12,1,Florida,Alachua County,4,8,12984,6305,6679
50,12,1,Florida,Alachua County,4,9,14423,6976,7447
50,12,1,Florida,Alachua County,4,10,14380,6766,7614
