SUMLEV,REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
40,4,9,6,California,0,0,1,0,355905,355906,360899,384305,371161,367417,366870,364261,359468,354183,337651,329981
40,4,9,6,California,0,0,1,1,358613,358613,356277,360271,382945,370416,366005,365198,362385,357175,351305,334695
40,4,9,6,California,0,0,1,2,371858,371858,370297,356125,359659,382125,369529,364536,363603,360376,354834,347974
40,4,9,6,California,0,0,1,3,374615,374615,373413,370281,355524,359389,381124,368328,362710,361574,358310,352308
40,4,9,6,California,0,0,1,4,368656,368655,370154,373175,370063,355292,358939,379891,366938,361007,359466,355811
40,4,9,6,California,0,0,1,5,366512,366512,367366,370522,373289,369591,355051,358119,378274,365363,359389,357114
40,4,9,6,California,0,0,1,6,364073,364073,365215,367405,370329,373019,369492,354272,356892,376707,363507,357018
40,4,9,6,California,0,0,1,7,362495,362495,362873,365523,367233,370077,372654,368687,353448,355658,375262,361572
40,4,9,6,California,0,0,1,8,361561,361562,360213,362939,365319,367084,369802,372182,367502,352020,354091,372995
40,4,9,6,California,0,0,1,9,371167,371167,368764,360291,362877,365136,366764,369074,371138,366137,350403,352367
40,4,9,6,California,0,0,1,10,374933,374934,375536,368620,359893,362513,364789,366073,368321,369502,364537,348447
40,4,9,6,California,0,0,1,11,373166,373168,372020,375242,368468,359851,362303,364327,365367,367063,367794,362634
40,4,9,6,California,0,0,1,12,375397,375397,374679,371594,375147,368219,359518,362036,363672,364389,365639,366114
40,4,9,6,California,0,0,1,13,383246,383246,381160,374767,371586,374937,367968,359136,361871,362995,363307,364091
40,4,9,6,California,0,0,1,14,391626,391626,388284,380915,374737,371392,374961,367805,358848,361089,362027,362167
40,4,9,6,California,0,0,1,15,399640,399640,398230,388538,381206,374935,371640,375190,368027,358837,360750,361056
40,4,9,6,California,0,0,1,16,407436,407438,406544,398661,388686,381659,375465,372196,375418,367948,358241,359809
40,4,9,6,California,0,0,1,17,412741,412746,410606,407582,399452,389727,382758,376374,372926,375774,367761,357996
40,4,9,6,California,0,0,1,18,419427,419432,418547,407080,405309,397565,389151,383261,377319,374744,378505,370975
40,4,9,6,California,0,0,1,19,421882,421882,416132,403272,393088,389476,382778,375794,369676,364467,362619,366089
40,4,9,6,California,0,0,1,20,416049,416056,421794,423735,410707,398540,395163,388481,379986,373068,366853,363417
40,4,9,6,California,0,0,1,21,399983,399983,402617,425852,428276,413370,402286,398554,390344,381302,373515,366145
40,4,9,6,California,0,0,1,22,398299,398303,400319,408623,432453,433887,419273,407197,402767,394047,383487,374858
40,4,9,6,California,0,0,1,23,397403,397407,398844,408239,416592,440247,442607,427281,414166,408679,398891,387609
40,4,9,6,California,0,0,1,24,403402,403404,403037,403225,412508,420629,445504,447695,432489,418065,411475,401014
40,4,9,6,California,0,0,1,25,407139,407140,408536,405175,406005,415582,423975,448878,450185,434994,419072,411995
40,4,9,6,California,0,0,1,26,395156,395160,396094,409682,407791,408446,418714,426866,451644,451495,435904,419596
40,4,9,6,California,0,0,1,27,404725,404731,402623,396815,410856,408805,410402,420603,427723,451737,450542,434768
40,4,9,6,California,0,0,1,28,401272,401274,403894,402894,397391,411919,410906,412259,421362,427480,450095,448493
40,4,9,6,California,0,0,1,29,400019,400025,398588,403642,403372,398344,412861,411891,412697,420520,425577,447440
40,4,9,6,California,0,0,1,30,404826,404831,406362,398101,403659,403674,399340,413245,412326,411516,418899,422655
40,4,9,6,California,0,0,1,31,368042,368043,375213,405131,397449,403469,404148,399633,412224,410881,409350,415753
40,4,9,6,California,0,0,1,32,373130,373134,370373,374474,404252,397628,403366,404296,398988,410664,408090,406022
40,4,9,6,California,0,0,1,33,364465,364467,367785,369025,373745,403668,397125,402699,403092,397080,407985,404816
40,4,9,6,California,0,0,1,34,361359,361360,359715,366491,367918,373054,402724,396431,401308,400744,394376,404408
40,4,9,6,California,0,0,1,35,375830,375837,373070,359063,365803,367369,372963,401495,394876,398805,397798,390829
40,4,9,6,California,0,0,1,36,354857,354860,358867,371533,357970,364685,366224,371691,399138,392175,395823,393977
40,4,9,6,California,0,0,1,37,363861,363862,360614,357226,369947,356767,363478,364840,369489,396002,388953,391870
40,4,9,6,California,0,0,1,38,373059,373064,370561,358817,355944,368658,355860,362155,363043,366976,393118,385222
40,4,9,6,California,0,0,1,39,397606,397608,392557,368584,357275,354583,367261,354426,360320,360405,363852,388919
40,4,9,6,California,0,0,1,40,414009,414014,409499,391036,367276,356014,353245,365852,352482,357886,357556,360318
40,4,9,6,California,0,0,1,41,381156,381161,387393,407193,388728,365485,354128,351308,363489,349727,354468,353495
40,4,9,6,California,0,0,1,42,377448,377453,377785,385372,405084,387029,363563,352329,348937,360629,346588,350622
40,4,9,6,California,0,0,1,43,373565,373571,373671,375751,383427,403242,385124,361487,349969,346197,357259,342726
40,4,9,6,California,0,0,1,44,377121,377128,375334,371832,374224,381525,401446,383038,359208,347272,343266,353478
40,4,9,6,California,0,0,1,45,403401,403408,397085,373416,370093,372582,379663,399415,380560,356461,344102,339575
40,4,9,6,California,0,0,1,46,398442,398445,400334,394870,371456,368199,370569,377156,396536,377299,352884,340126
40,4,9,6,California,0,0,1,47,398063,398069,397292,398050,392363,369351,365922,368147,374522,393063,373371,348809
40,4,9,6,California,0,0,1,48,397864,397869,397710,395259,396225,390419,367703,363840,365762,371573,389344,369442
40,4,9,6,California,0,0,1,49,402465,402471,401225,395134,392817,393642,387898,365058,360891,362573,367790,384847
40,4,9,6,California,0,0,1,50,408922,408926,407401,398826,392783,390657,391412,385403,362028,357926,359114,363682
40,4,9,6,California,0,0,1,51,381419,381425,386950,404376,395743,389792,387446,387893,381585,358177,353586,354062
40,4,9,6,California,0,0,1,52,386870,386873,383534,384225,401407,392866,387008,384280,384356,377956,353804,349140
40,4,9,6,California,0,0,1,53,374306,374315,379473,380651,381305,398248,389532,383746,380508,380371,373420,348942
40,4,9,6,California,0,0,1,54,367391,367397,366580,376595,377653,378454,395105,386322,379782,376413,375750,368596
40,4,9,6,California,0,0,1,55,365604,365611,365542,363548,373589,374460,375289,391571,382347,375483,371511,370314
40,4,9,6,California,0,0,1,56,344002,344006,348762,362042,359710,369843,370648,371307,386818,377273,369751,365190
40,4,9,6,California,0,0,1,57,333433,333436,334684,345362,358379,355999,365885,366450,366652,381616,371313,363442
40,4,9,6,California,0,0,1,58,317485,317489,318724,331413,342136,354981,352403,361761,361907,361608,375881,364956
40,4,9,6,California,0,0,1,59,306012,306017,309702,315206,327948,338547,351097,348166,356991,356824,355961,369452
40,4,9,6,California,0,0,1,60,305197,305203,304134,306166,311753,324111,334650,346638,343045,351349,350559,349167
40,4,9,6,California,0,0,1,61,288960,288965,292332,300258,302273,307501,319793,329760,340997,337238,344903,343449
40,4,9,6,California,0,0,1,62,295999,296005,289868,288598,296479,298442,303299,315488,324582,335291,330911,337613
40,4,9,6,California,0,0,1,63,290198,290207,303377,285697,284448,292431,294127,298651,310227,318586,328461,323481
40,4,9,6,California,0,0,1,64,226870,226874,229740,298667,281586,280060,288002,289298,293266,304122,311878,320643
40,4,9,6,California,0,0,1,65,226817,226822,226826,226620,294502,277441,275972,283398,284198,287769,297804,304710
40,4,9,6,California,0,0,1,66,215217,215223,215481,223326,223052,289650,272687,270930,277946,278394,281699,291409
40,4,9,6,California,0,0,1,67,213859,213859,217771,211869,219809,219522,284677,267719,265498,272248,272515,275686
40,4,9,6,California,0,0,1,68,184968,184971,188512,214123,208557,216182,215886,279562,262319,260040,266472,266662
40,4,9,6,California,0,0,1,69,171785,171788,173459,185447,210680,205075,212483,211985,273758,256847,254460,260670
40,4,9,6,California,0,0,1,70,165002,165011,166157,170389,182308,206943,201299,208673,207657,267652,251163,248647
