SUMLEV,REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
40,3,5,12,Florida,0,0,1,0,143239,143237,142718,146127,146501,146062,150740,153871,156016,154934,155207,156464
40,3,5,12,Florida,0,0,1,1,144815,144817,143966,143433,147004,147317,147903,153193,156957,158467,156246,156365
40,3,5,12,Florida,0,0,1,2,151328,151330,150455,144540,144663,148415,149159,150339,155966,158877,159858,157706
40,3,5,12,Florida,0,0,1,3,152352,152350,152050,151165,145551,145946,150172,151860,153273,158353,160538,161221
40,3,5,12,Florida,0,0,1,4,151215,151215,151639,152738,152200,146705,147699,152662,155124,155695,160055,161768
40,3,5,12,Florida,0,0,1,5,150414,150415,150979,152858,154346,153443,148382,150502,155672,157517,157410,161206
40,3,5,12,Florida,0,0,1,6,150246,150247,150618,152165,154305,156025,155378,151483,153975,158463,159631,158914
40,3,5,12,Florida,0,0,1,7,150163,150162,150365,151667,153551,156043,158104,158374,154645,156635,160804,161003
40,3,5,12,Florida,0,0,1,8,152806,152804,151593,150938,153297,155410,158252,161044,161477,157122,158970,162315
40,3,5,12,Florida,0,0,1,9,158156,158154,157025,153090,152344,155228,157756,161243,164340,164293,159384,160690
40,3,5,12,Florida,0,0,1,10,160733,160733,160927,158187,154559,153397,157452,160720,164616,167162,166848,160817
40,3,5,12,Florida,0,0,1,11,160564,160564,160265,162280,159787,156472,155241,160257,163581,167097,169171,168234
40,3,5,12,Florida,0,0,1,12,160873,160872,161037,161825,163955,161437,158541,157727,163494,166382,169773,170552
40,3,5,12,Florida,0,0,1,13,162567,162565,162430,162565,163460,165706,163457,161243,160419,166178,168439,171070
40,3,5,12,Florida,0,0,1,14,164792,164795,164115,163848,164124,165172,167930,166383,164539,162828,168769,170036
40,3,5,12,Florida,0,0,1,15,167435,167441,167290,165908,165792,165806,167197,170913,169598,167409,165034,170518
40,3,5,12,Florida,0,0,1,16,171450,171466,171121,168725,167490,167549,168063,169679,174262,172487,169840,166198
40,3,5,12,Florida,0,0,1,17,174384,174402,173695,173076,170801,169461,169902,171186,173089,177393,175224,171647
40,3,5,12,Florida,0,0,1,18,179789,179805,178272,170887,169508,169279,166881,168043,169644,171380,175384,172483
40,3,5,12,Florida,0,0,1,19,185710,185733,182465,173742,166861,167662,166176,164056,165147,166964,168381,171119
40,3,5,12,Florida,0,0,1,20,186386,186422,188277,186157,176917,171418,171480,170616,169122,170486,171619,171993
40,3,5,12,Florida,0,0,1,21,180603,180637,182135,192030,189802,181133,175868,176444,175477,174199,174775,175453
40,3,5,12,Florida,0,0,1,22,178130,178158,179477,186185,195775,194080,185085,181018,181546,180322,178655,178143
40,3,5,12,Florida,0,0,1,23,175804,175838,177352,184193,191426,200976,199324,191335,187450,187158,184988,182844
40,3,5,12,Florida,0,0,1,24,177944,177980,178298,180843,187764,194932,204770,203900,196412,191817,190696,187797
40,3,5,12,Florida,0,0,1,25,179162,179197,180408,180963,183325,189961,197585,208480,208059,199786,194528,192510
40,3,5,12,Florida,0,0,1,26,173983,174041,174671,181572,183233,185224,192193,200586,211726,210085,201446,195591
40,3,5,12,Florida,0,0,1,27,176571,176616,176524,176072,183344,184928,187556,195609,203798,214042,211310,202506
40,3,5,12,Florida,0,0,1,28,174610,174657,176218,177852,178357,185536,186870,190398,198930,206264,214632,212029
40,3,5,12,Florida,0,0,1,29,172685,172727,172932,177072,180058,180147,187696,190237,193953,201538,207676,215751
40,3,5,12,Florida,0,0,1,30,175826,175866,176575,174324,178899,182021,182715,191742,194105,197271,203428,208945
40,3,5,12,Florida,0,0,1,31,162729,162767,165802,177921,175926,180788,184517,185926,195149,196740,198693,204413
40,3,5,12,Florida,0,0,1,32,166838,166890,165611,167274,180467,178125,183444,188008,189760,198390,199226,200521
40,3,5,12,Florida,0,0,1,33,163696,163729,165736,167148,169704,182437,181033,187100,191841,192808,200568,200780
40,3,5,12,Florida,0,0,1,34,163215,163255,162662,167130,169528,171815,185007,184956,191016,195136,195312,202626
40,3,5,12,Florida,0,0,1,35,170152,170199,169572,164281,169531,171496,174336,188898,189233,194818,198193,197218
40,3,5,12,Florida,0,0,1,36,166761,166802,167618,170971,166522,171823,174186,177837,192952,192739,197432,199980
40,3,5,12,Florida,0,0,1,37,176069,176101,173812,169215,173191,168925,174734,178015,181901,196375,195623,199058
40,3,5,12,Florida,0,0,1,38,189238,189292,186380,175404,171313,175559,172008,178673,182365,185774,199171,197688
40,3,5,12,Florida,0,0,1,39,200613,200653,199047,187596,177549,173697,178151,175562,183028,186206,188955,201652
40,3,5,12,Florida,0,0,1,40,202658,202705,202711,200211,189688,179954,176352,181934,179533,186770,189013,191028
40,3,5,12,Florida,0,0,1,41,190234,190280,192970,203780,201900,191715,182711,179649,185630,182980,189637,190760
40,3,5,12,Florida,0,0,1,42,191107,191140,190850,193899,205628,204186,194437,185768,183508,188941,185678,191595
40,3,5,12,Florida,0,0,1,43,196709,196760,195479,191528,195404,207517,206683,197283,189134,186111,190990,187390
40,3,5,12,Florida,0,0,1,44,203915,203964,202036,196216,192985,197344,209969,209771,200951,192118,188481,192936
40,3,5,12,Florida,0,0,1,45,222860,222916,218680,202971,197545,194536,199425,213002,213418,203956,194426,190305
40,3,5,12,Florida,0,0,1,46,225472,225519,225664,219116,204225,198954,196252,201988,216284,216139,205979,195934
40,3,5,12,Florida,0,0,1,47,225264,225329,225607,226185,220546,205558,200941,198953,205382,219033,218433,207792
40,3,5,12,Florida,0,0,1,48,225450,225489,225636,226014,227267,222038,207695,203494,202158,208001,221335,220233
40,3,5,12,Florida,0,0,1,49,227170,227203,227519,225669,226601,228522,223733,210018,206181,204571,209667,223013
40,3,5,12,Florida,0,0,1,50,226821,226863,227001,227894,226391,227704,230194,226044,212878,208508,206572,211211
40,3,5,12,Florida,0,0,1,51,217243,217284,219279,226973,228354,227331,229244,232613,228953,215360,210282,208116
40,3,5,12,Florida,0,0,1,52,218137,218155,217512,219305,227359,229039,228926,231468,236042,231636,216937,212058
40,3,5,12,Florida,0,0,1,53,213419,213446,216410,217478,219944,228084,230611,230850,234213,238252,233490,218236
40,3,5,12,Florida,0,0,1,54,209235,209262,209317,216377,218089,220504,229229,232780,233493,236308,239838,235040
40,3,5,12,Florida,0,0,1,55,208590,208609,209052,209780,217371,219144,222368,231790,236104,236181,238475,241727
40,3,5,12,Florida,0,0,1,56,201712,201720,203821,209421,210529,218381,220966,224861,235129,238939,238324,240428
40,3,5,12,Florida,0,0,1,57,198718,198726,199312,204179,210619,211979,220526,223435,228019,238159,241145,240590
40,3,5,12,Florida,0,0,1,58,195529,195539,195285,199719,205367,211784,213935,223114,226573,230755,240454,243265
40,3,5,12,Florida,0,0,1,59,191391,191401,193801,195880,200773,206451,213680,216422,226173,229210,232789,242327
40,3,5,12,Florida,0,0,1,60,193783,193794,193055,194586,197005,202217,208964,216325,219657,228778,231117,234794
40,3,5,12,Florida,0,0,1,61,195723,195733,195894,194374,196418,199020,204913,211963,219646,222278,231303,233866
40,3,5,12,Florida,0,0,1,62,208099,208106,202690,197280,196295,198862,201922,208114,215754,222958,225193,234125
40,3,5,12,Florida,0,0,1,63,212960,212966,222067,204489,198969,198494,202128,205624,211972,219215,225968,228146
40,3,5,12,Florida,0,0,1,64,167138,167144,169313,224107,206306,201080,201873,205476,209481,215144,221742,228504
40,3,5,12,Florida,0,0,1,65,172146,172151,171863,171756,226658,208269,204344,205865,209901,213025,218358,224547
40,3,5,12,Florida,0,0,1,66,176680,176684,174296,172535,172950,228901,211114,207867,209435,212703,215858,221253
40,3,5,12,Florida,0,0,1,67,184010,184016,186465,174735,173508,174114,231488,214114,211042,212031,215134,218263
40,3,5,12,Florida,0,0,1,68,161950,161955,164734,186409,174892,174253,175489,233932,216547,212608,213509,216531
40,3,5,12,Florida,0,0,1,69,151601,151606,153295,164460,186630,175151,175461,177118,236092,217839,213946,214748
40,3,5,12,Florida,0,0,1,70,146833,146833,148002,152638,164211,186697,175709,176430,178082,237029,218664,214785
40,3,5,12,Florida,0,0,1,71,142706,142707,142970,146954,151929,163733,186854,176371,177111,178373,237294,218963
40,3,5,12,Florida,0,0,1,72,137603,137603,139240,141595,145867,151205,163290,186785,176389,176832,177859,236450
40,3,5,12,Florida,0,0,1,73,130811,130812,131396,137521,140240,144590,150381,162903,186390,175654,176103,176946
40,3,5,12,Florida,0,0,1,74,125509,125510,126203,129154,135561,138568,143037,149176,162014,184802,174311,174582
40,3,5,12,Florida,0,0,1,75,121376,121377,122446,123776,127106,133436,136716,141357,147702,159983,182425,172100
40,3,5,12,Florida,0,0,1,76,110610,110611,111517,119817,121466,124823,131086,134716,139544,145546,157358,179377
40,3,5,12,Florida,0,0,1,77,110852,110852,110265,108645,117175,118628,122172,128560,132440,136913,142657,154153
40,3,5,12,Florida,0,0,1,78,108002,108002,107950,106944,105461,114055,115530,119307,125837,129203,133516,138999
40,3,5,12,Florida,0,0,1,79,106306,106307,105099,104118,103386,101843,110507,112242,116076,122236,125390,129518
40,3,5,12,Florida,0,0,1,80,101032,101030,102121,100977,100271,99484,98370,106911,108830,112316,118152,121213
40,3,5,12,Florida,0,0,1,81,95188,95195,94844,97218,96517,95672,95302,94205,102859,104458,107575,113077
40,3,5,12,Florida,0,0,1,82,90126,90126,90301,90022,92453,91852,91304,91095,90168,98262,99598,102527
40,3,5,12,Florida,0,0,1,83,83132,83141,83647,84695,84576,86950,86739,86039,86241,85278,92790,94035
40,3,5,12,Florida,0,0,1,84,75106,75108,75576,77974,79177,78918,81373,81255,80899,81043,79984,87041
40,3,5,12,Florida,0,0,1,85,403905,403963,407967,422579,439290,453807,468830,483665,499066,511704,520777,527041
40,3,5,12,Florida,0,0,2,0,47923,47923,47876,50041,49845,49567,50048,49912,50669,51710,48965,46223
40,3,5,12,Florida,0,0,2,1,48339,48339,48049,48104,50299,50031,49908,50591,50332,51022,51867,49075
40,3,5,12,Florida,0,0,2,2,49783,49783,49766,48456,48501,50561,50421,50438,51024,50659,51300,52060
40,3,5,12,Florida,0,0,2,3,49414,49414,49545,50068,48826,48820,50968,50809,51054,51558,51121,51510
