PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,b,1960-1964,0,0.02775,0.02710,0.13,100000,2710,97629,6977889,69.78
KY,b,1960-1964,1-4,0.00113,0.00449,1.53,97290,437,388083,6880260,70.72
KY,b,1960-1964,5-9,0.00048,0.00242,2.28,96853,234,483629,6492177,67.03
KY,b,1960-1964,10-14,0.00049,0.00242,2.7,96619,234,482557,6008547,62.19
KY,b,1960-1964,15-19,0.00105,0.00524,2.76,96385,505,480794,5525990,57.33
KY,b,1960-1964,20-24,0.00133,0.00662,2.58,95880,635,477863,5045197,52.62
KY,b,1960-1964,25-29,0.00147,0.00733,2.5,95245,698,474481,4567334,47.95
KY,b,1960-1964,30-34,0.00183,0.00910,2.66,94547,861,470720,4092853,43.29
KY,b,1960-1964,35-39,0.00269,0.01336,2.66,93686,1252,465497,3622133,38.66
KY,b,1960-1964,40-44,0.00399,0.01974,2.69,92435,1825,457950,3156636,34.15
KY,b,1960-1964,45-49,0.00608,0.02999,2.68,90609,2718,446754,2698686,29.78
KY,b,1960-1964,50-54,0.00920,0.04501,2.66,87892,3956,430197,2251932,25.62
KY,b,1960-1964,55-59,0.01363,0.06600,2.64,83936,5540,406577,1821735,21.70
KY,b,1960-1964,60-64,0.01986,0.09484,2.64,78396,7435,374422,1415157,18.05
KY,b,1960-1964,65-69,0.03014,0.14047,2.58,70960,9968,330688,1040736,14.67
KY,b,1960-1964,70-74,0.04550,0.20493,2.58,60993,12499,274735,710048,11.64
KY,b,1960-1964,75-79,0.06850,0.29318,2.54,48493,14217,207561,435313,8.98
KY,b,1960-1964,80-84,0.11179,0.43644,2.49,34276,14959,133819,227752,6.64
KY,b,1960-1964,85-89,0.17461,0.59293,2.29,19317,11453,65595,93933,4.86
KY,b,1960-1964,90-94,0.25429,0.73503,2.13,7863,5780,22729,28338,3.60
KY,b,1960-1964,95-99,0.35673,0.84886,1.91,2084,1769,4958,5610,2.69
KY,b,1960-1964,100-104,0.47526,0.92162,1.68,315,290,611,652,2.07
KY,b,1960-1964,105-109,0.59760,0.96037,1.47,25,24,40,41,1.66
KY,b,1960-1964,110+,0.69394,1.00000,1.44,1,1,1,1,1.44
