PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,f,1960-1964,0,0.02475,0.02422,0.12,100000,2422,97874,7341341,73.41
KY,f,1960-1964,1-4,0.00103,0.00411,1.52,97578,401,389318,7243466,74.23
KY,f,1960-1964,5-9,0.00041,0.00205,2.36,97177,199,485358,6854149,70.53
KY,f,1960-1964,10-14,0.00036,0.00180,2.55,96978,175,484461,6368790,65.67
KY,f,1960-1964,15-19,0.00056,0.00278,2.69,96803,269,483395,5884329,60.79
KY,f,1960-1964,20-24,0.00068,0.00341,2.57,96535,329,481873,5400934,55.95
KY,f,1960-1964,25-29,0.00088,0.00441,2.57,96205,424,479995,4919061,51.13
KY,f,1960-1964,30-34,0.00126,0.00629,2.75,95781,603,477552,4439066,46.35
KY,f,1960-1964,35-39,0.00192,0.00956,2.65,95179,910,473757,3961514,41.62
KY,f,1960-1964,40-44,0.00287,0.01426,2.64,94269,1344,468167,3487757,37.00
KY,f,1960-1964,45-49,0.00415,0.02055,2.72,92925,1909,460273,3019590,32.50
KY,f,1960-1964,50-54,0.00598,0.02948,2.69,91015,2683,448866,2559317,28.12
KY,f,1960-1964,55-59,0.00911,0.04459,2.68,88332,3939,432536,2110452,23.89
KY,f,1960-1964,60-64,0.01362,0.06598,2.65,84393,5568,408905,1677916,19.88
KY,f,1960-1964,65-69,0.02220,0.10543,2.61,78825,8311,374304,1269010,16.10
KY,f,1960-1964,70-74,0.03545,0.16358,2.64,70514,11535,325338,894707,12.69
KY,f,1960-1964,75-79,0.05918,0.25898,2.59,58980,15275,258107,569368,9.65
KY,f,1960-1964,80-84,0.09923,0.39847,2.53,43705,17415,175499,311261,7.12
KY,f,1960-1964,85-89,0.16004,0.56063,2.33,26290,14739,92094,135762,5.16
KY,f,1960-1964,90-94,0.23884,0.71355,2.18,11551,8242,34509,43668,3.78
KY,f,1960-1964,95-99,0.34527,0.83973,1.94,3309,2778,8047,9159,2.77
KY,f,1960-1964,100-104,0.46840,0.91905,1.69,530,487,1041,1112,2.10
KY,f,1960-1964,105-109,0.59615,0.96030,1.47,43,41,69,72,1.67
KY,f,1960-1964,110+,0.69653,1.00000,1.44,2,2,2,2,1.44
KY,f,1965-1969,0,0.02054,0.02017,0.11,100000,2017,98206,7404217,74.04
KY,f,1965-1969,1-4,0.00092,0.00365,1.67,97983,358,391098,7306011,74.56
KY,f,1965-1969,5-9,0.00037,0.00183,2.27,97625,178,487637,6914914,70.83
KY,f,1965-1969,10-14,0.00034,0.00169,2.71,97446,165,486855,6427277,65.96
KY,f,1965-1969,15-19,0.00068,0.00337,2.52,97281,328,485594,5940422,61.06
KY,f,1965-1969,20-24,0.00075,0.00375,2.59,96953,363,483891,5454828,56.26
KY,f,1965-1969,25-29,0.00089,0.00442,2.57,96590,427,481911,4970937,51.46
KY,f,1965-1969,30-34,0.00115,0.00572,2.68,96163,550,479539,4489026,46.68
KY,f,1965-1969,35-39,0.00186,0.00928,2.74,95613,888,476059,4009487,41.93
KY,f,1965-1969,40-44,0.00294,0.01458,2.71,94725,1381,470458,3533428,37.30
KY,f,1965-1969,45-49,0.00437,0.02164,2.71,93344,2020,462085,3062970,32.81
KY,f,1965-1969,50-54,0.00591,0.02916,2.66,91324,2663,450376,2600885,28.48
KY,f,1965-1969,55-59,0.00881,0.04316,2.63,88661,3827,434245,2150509,24.26
KY,f,1965-1969,60-64,0.01289,0.06255,2.62,84834,5307,411558,1716264,20.23
KY,f,1965-1969,65-69,0.02043,0.09747,2.65,79528,7751,379401,1304706,16.41
KY,f,1965-1969,70-74,0.03376,0.15643,2.65,71776,11228,332541,925305,12.89
KY,f,1965-1969,75-79,0.05702,0.25052,2.58,60549,15169,266008,592764,9.79
KY,f,1965-1969,80-84,0.09577,0.38798,2.55,45380,17607,183848,326756,7.20
KY,f,1965-1969,85-89,0.16039,0.56473,2.38,27773,15684,97790,142908,5.15
KY,f,1965-1969,90-94,0.24126,0.71959,2.2,12089,8699,36058,45118,3.73
KY,f,1965-1969,95-99,0.35857,0.85204,1.92,3390,2888,8055,9060,2.67
KY,f,1965-1969,100-104,0.49120,0.92937,1.66,502,466,949,1005,2.00
KY,f,1965-1969,105-109,0.62602,0.96675,1.43,35,34,55,56,1.59
KY,f,1965-1969,110+,0.72945,1.00000,1.37,1,1,2,2,1.37
KY,f,1970-1974,0,0.01588,0.01565,0.1,100000,1565,98587,7472732,74.73
KY,f,1970-1974,1-4,0.00079,0.00317,1.72,98435,312,393028,7374145,74.91
KY,f,1970-1974,5-9,0.00040,0.00197,2.26,98123,194,490086,6981116,71.15
KY,f,1970-1974,10-14,0.00031,0.00154,2.7,97929,151,489301,6491030,66.28
KY,f,1970-1974,15-19,0.00060,0.00300,2.67,97779,294,488211,6001729,61.38
KY,f,1970-1974,20-24,0.00067,0.00332,2.49,97485,324,486612,5513518,56.56
KY,f,1970-1974,25-29,0.00086,0.00429,2.61,97161,417,484813,5026907,51.74
KY,f,1970-1974,30-34,0.00116,0.00577,2.72,96745,558,482450,4542094,46.95
KY,f,1970-1974,35-39,0.00181,0.00902,2.69,96187,867,478929,4059643,42.21
KY,f,1970-1974,40-44,0.00274,0.01361,2.71,95319,1297,473620,3580714,37.57
KY,f,1970-1974,45-49,0.00427,0.02112,2.65,94022,1986,465435,3107094,33.05
KY,f,1970-1974,50-54,0.00610,0.03005,2.58,92036,2766,453494,2641659,28.70
KY,f,1970-1974,55-59,0.00857,0.04202,2.67,89271,3751,437604,2188165,24.51
KY,f,1970-1974,60-64,0.01305,0.06332,2.67,85520,5415,414992,1750561,20.47
KY,f,1970-1974,65-69,0.01999,0.09539,2.62,80105,7641,382304,1335569,16.67
KY,f,1970-1974,70-74,0.03307,0.15337,2.64,72463,11114,336082,953266,13.16
KY,f,1970-1974,75-79,0.05420,0.24015,2.63,61350,14733,271852,617184,10.06
KY,f,1970-1974,80-84,0.09301,0.37838,2.54,46616,17639,189635,345332,7.41
KY,f,1970-1974,85-89,0.15039,0.54023,2.39,28978,15654,104096,155696,5.37
KY,f,1970-1974,90-94,0.23154,0.70136,2.19,13323,9344,40357,51601,3.87
KY,f,1970-1974,95-99,0.33698,0.83262,1.96,3979,3313,9831,11244,2.83
KY,f,1970-1974,100-104,0.46241,0.91659,1.71,666,610,1320,1413,2.12
KY,f,1970-1974,105-109,0.59344,0.95986,1.48,56,53,90,93,1.68
KY,f,1970-1974,110+,0.69655,1.00000,1.44,2,2,3,3,1.44
KY,f,1975-1979,0,0.01233,0.01220,0.09,100000,1220,98887,7646368,76.46
KY,f,1975-1979,1-4,0.00054,0.00215,1.63,98780,212,394618,7547481,76.41
KY,f,1975-1979,5-9,0.00028,0.00142,2.18,98568,140,492446,7152863,72.57
KY,f,1975-1979,10-14,0.00026,0.00129,2.75,98428,127,491854,6660418,67.67
KY,f,1975-1979,15-19,0.00058,0.00288,2.69,98301,283,490848,6168563,62.75
KY,f,1975-1979,20-24,0.00062,0.00310,2.56,98017,304,489345,5677715,57.93
KY,f,1975-1979,25-29,0.00067,0.00334,2.66,97714,326,487808,5188370,53.10
KY,f,1975-1979,30-34,0.00088,0.00441,2.64,97388,429,485925,4700562,48.27
KY,f,1975-1979,35-39,0.00141,0.00703,2.63,96959,682,483178,4214637,43.47
KY,f,1975-1979,40-44,0.00235,0.01167,2.69,96277,1124,478784,3731458,38.76
KY,f,1975-1979,45-49,0.00377,0.01869,2.6,95153,1778,471490,3252674,34.18
KY,f,1975-1979,50-54,0.00554,0.02734,2.66,93375,2552,460894,2781184,29.79
KY,f,1975-1979,55-59,0.00821,0.04030,2.66,90823,3660,445540,2320290,25.55
KY,f,1975-1979,60-64,0.01224,0.05949,2.64,87163,5185,423560,1874749,21.51
KY,f,1975-1979,65-69,0.01790,0.08589,2.65,81977,7041,393325,1451190,17.70
KY,f,1975-1979,70-74,0.02816,0.13197,2.62,74936,9890,351186,1057864,14.12
KY,f,1975-1979,75-79,0.04748,0.21327,2.62,65046,13872,292197,706678,10.86
KY,f,1975-1979,80-84,0.08137,0.33942,2.56,51174,17370,213475,414481,8.10
KY,f,1975-1979,85-89,0.13084,0.48867,2.41,33804,16519,126259,201006,5.95
KY,f,1975-1979,90-94,0.20178,0.64904,2.25,17285,11219,55599,74748,4.32
KY,f,1975-1979,95-99,0.29688,0.79082,2.05,6067,4797,16160,19149,3.16
KY,f,1975-1979,100-104,0.41329,0.88998,1.8,1269,1129,2733,2989,2.36
KY,f,1975-1979,105-109,0.54051,0.94582,1.56,140,132,244,256,1.83
KY,f,1975-1979,110+,0.64404,1.00000,1.55,8,8,12,12,1.55
KY,f,1980-1984,0,0.01048,0.01038,0.08,100000,1038,99047,7739781,77.40
KY,f,1980-1984,1-4,0.00052,0.00208,1.49,98962,206,395332,7640734,77.21
