PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,m,1960-1964,0,0.03061,0.02982,0.13,100000,2982,97397,6646521,66.47
KY,m,1960-1964,1-4,0.00122,0.00486,1.54,97018,471,386915,6549124,67.50
KY,m,1960-1964,5-9,0.00056,0.00278,2.23,96547,268,481991,6162209,63.83
KY,m,1960-1964,10-14,0.00060,0.00302,2.8,96279,291,480752,5680218,59.00
KY,m,1960-1964,15-19,0.00152,0.00759,2.78,95988,728,478323,5199466,54.17
KY,m,1960-1964,20-24,0.00195,0.00972,2.58,95259,926,474057,4721143,49.56
KY,m,1960-1964,25-29,0.00207,0.01030,2.48,94333,972,469219,4247086,45.02
KY,m,1960-1964,30-34,0.00243,0.01210,2.61,93362,1130,464104,3777867,40.46
KY,m,1960-1964,35-39,0.00350,0.01735,2.66,92232,1600,457411,3313763,35.93
KY,m,1960-1964,40-44,0.00515,0.02543,2.71,90632,2305,447890,2856353,31.52
KY,m,1960-1964,45-49,0.00810,0.03974,2.66,88327,3510,433431,2408462,27.27
KY,m,1960-1964,50-54,0.01254,0.06088,2.64,84818,5164,411923,1975031,23.29
KY,m,1960-1964,55-59,0.01843,0.08825,2.61,79654,7030,381446,1563108,19.62
KY,m,1960-1964,60-64,0.02666,0.12539,2.63,72624,9107,341524,1181662,16.27
KY,m,1960-1964,65-69,0.03905,0.17821,2.55,63517,11319,289896,840138,13.23
KY,m,1960-1964,70-74,0.05722,0.25073,2.53,52198,13088,228722,550242,10.54
KY,m,1960-1964,75-79,0.07986,0.33284,2.5,39110,13017,162997,321520,8.22
KY,m,1960-1964,80-84,0.12855,0.48371,2.44,26093,12622,98183,158523,6.08
KY,m,1960-1964,85-89,0.19536,0.63544,2.25,13471,8560,43818,60339,4.48
KY,m,1960-1964,90-94,0.27742,0.76368,2.06,4911,3751,13519,16522,3.36
KY,m,1960-1964,95-99,0.37359,0.86143,1.87,1161,1000,2676,3002,2.59
KY,m,1960-1964,100-104,0.48577,0.92542,1.66,161,149,306,326,2.03
KY,m,1960-1964,105-109,0.59992,0.96047,1.46,12,12,19,20,1.66
KY,m,1960-1964,110+,0.68964,1.00000,1.45,0,0,1,1,1.45
KY,m,1965-1969,0,0.02662,0.02601,0.12,100000,2601,97702,6633021,66.33
KY,m,1965-1969,1-4,0.00093,0.00370,1.69,97399,360,388763,6535319,67.10
KY,m,1965-1969,5-9,0.00059,0.00295,2.39,97039,286,484448,6146556,63.34
KY,m,1965-1969,10-14,0.00053,0.00263,2.81,96753,255,483204,5662108,58.52
KY,m,1965-1969,15-19,0.00172,0.00858,2.9,96498,828,480754,5178904,53.67
KY,m,1965-1969,20-24,0.00210,0.01044,2.48,95670,998,475839,4698149,49.11
KY,m,1965-1969,25-29,0.00217,0.01078,2.63,94672,1021,470934,4222310,44.60
KY,m,1965-1969,30-34,0.00253,0.01259,2.68,93651,1179,465518,3751376,40.06
KY,m,1965-1969,35-39,0.00341,0.01691,2.67,92472,1564,458710,3285858,35.53
KY,m,1965-1969,40-44,0.00548,0.02704,2.68,90908,2458,448831,2827148,31.10
KY,m,1965-1969,45-49,0.00855,0.04191,2.66,88450,3707,433559,2378317,26.89
KY,m,1965-1969,50-54,0.01300,0.06309,2.66,84744,5346,411209,1944758,22.95
KY,m,1965-1969,55-59,0.01883,0.09013,2.62,79397,7156,379950,1533548,19.31
KY,m,1965-1969,60-64,0.02803,0.13133,2.61,72241,9488,338496,1153599,15.97
KY,m,1965-1969,65-69,0.04070,0.18514,2.57,62754,11618,285483,815102,12.99
KY,m,1965-1969,70-74,0.05879,0.25716,2.57,51135,13150,223662,529619,10.36
KY,m,1965-1969,75-79,0.08549,0.35135,2.47,37985,13346,156116,305957,8.05
KY,m,1965-1969,80-84,0.12934,0.48456,2.41,24639,11939,92310,149841,6.08
KY,m,1965-1969,85-89,0.19245,0.63062,2.27,12700,8009,41615,57531,4.53
KY,m,1965-1969,90-94,0.27476,0.76065,2.07,4691,3568,12987,15916,3.39
KY,m,1965-1969,95-99,0.37034,0.85876,1.88,1123,964,2604,2929,2.61
KY,m,1965-1969,100-104,0.48079,0.92321,1.66,159,146,305,325,2.05
KY,m,1965-1969,105-109,0.59364,0.95899,1.47,12,12,20,20,1.68
KY,m,1965-1969,110+,0.68267,1.00000,1.46,0,0,1,1,1.46
KY,m,1970-1974,0,0.02075,0.02037,0.1,100000,2037,98168,6655763,66.56
KY,m,1970-1974,1-4,0.00095,0.00380,1.71,97963,372,390998,6557595,66.94
KY,m,1970-1974,5-9,0.00052,0.00260,2.27,97591,254,487261,6166597,63.19
KY,m,1970-1974,10-14,0.00056,0.00277,2.64,97337,270,486048,5679336,58.35
KY,m,1970-1974,15-19,0.00166,0.00827,2.83,97067,803,483591,5193288,53.50
KY,m,1970-1974,20-24,0.00211,0.01048,2.51,96264,1009,478805,4709696,48.92
KY,m,1970-1974,25-29,0.00221,0.01099,2.54,95255,1047,473697,4230892,44.42
KY,m,1970-1974,30-34,0.00253,0.01257,2.59,94208,1184,468193,3757195,39.88
KY,m,1970-1974,35-39,0.00353,0.01750,2.62,93024,1628,461248,3289002,35.36
KY,m,1970-1974,40-44,0.00534,0.02636,2.69,91396,2409,451410,2827754,30.94
KY,m,1970-1974,45-49,0.00855,0.04193,2.69,88988,3731,436326,2376344,26.70
KY,m,1970-1974,50-54,0.01299,0.06304,2.64,85257,5374,413598,1940018,22.75
KY,m,1970-1974,55-59,0.01941,0.09276,2.62,79882,7410,381805,1526420,19.11
KY,m,1970-1974,60-64,0.02971,0.13867,2.6,72473,10049,338207,1144615,15.79
KY,m,1970-1974,65-69,0.04117,0.18699,2.55,62423,11673,283502,806408,12.92
KY,m,1970-1974,70-74,0.05912,0.25841,2.56,50751,13114,221815,522906,10.30
KY,m,1970-1974,75-79,0.08799,0.36067,2.5,37636,13574,154262,301091,8.00
KY,m,1970-1974,80-84,0.12870,0.48361,2.43,24062,11637,90418,146830,6.10
KY,m,1970-1974,85-89,0.19167,0.62977,2.28,12425,7825,40827,56412,4.54
KY,m,1970-1974,90-94,0.27543,0.76059,2.06,4600,3499,12703,15584,3.39
KY,m,1970-1974,95-99,0.36910,0.85781,1.88,1101,945,2560,2881,2.62
KY,m,1970-1974,100-104,0.47956,0.92269,1.67,157,144,301,322,2.05
KY,m,1970-1974,105-109,0.59253,0.95874,1.47,12,12,20,20,1.68
KY,m,1970-1974,110+,0.68170,1.00000,1.47,0,0,1,1,1.47
KY,m,1975-1979,0,0.01585,0.01563,0.09,100000,1563,98574,6820349,68.20
KY,m,1975-1979,1-4,0.00075,0.00299,1.56,98437,295,393032,6721775,68.28
KY,m,1975-1979,5-9,0.00045,0.00224,2.39,98143,220,490139,6328743,64.49
KY,m,1975-1979,10-14,0.00047,0.00236,2.73,97922,231,489086,5838604,59.62
KY,m,1975-1979,15-19,0.00155,0.00774,2.81,97691,756,486798,5349519,54.76
KY,m,1975-1979,20-24,0.00195,0.00971,2.44,96935,941,482268,4862720,50.16
KY,m,1975-1979,25-29,0.00191,0.00949,2.47,95994,911,477669,4380452,45.63
KY,m,1975-1979,30-34,0.00204,0.01017,2.65,95083,967,473142,3902783,41.05
KY,m,1975-1979,35-39,0.00304,0.01509,2.67,94116,1421,467276,3429641,36.44
KY,m,1975-1979,40-44,0.00442,0.02190,2.67,92695,2030,458749,2962365,31.96
KY,m,1975-1979,45-49,0.00749,0.03681,2.65,90665,3338,445494,2503616,27.61
KY,m,1975-1979,50-54,0.01198,0.05829,2.65,87328,5090,424695,2058122,23.57
KY,m,1975-1979,55-59,0.01808,0.08670,2.62,82238,7130,394237,1633427,19.86
KY,m,1975-1979,60-64,0.02649,0.12456,2.61,75108,9356,353181,1239190,16.50
KY,m,1975-1979,65-69,0.03856,0.17636,2.59,65753,11596,300761,886010,13.47
KY,m,1975-1979,70-74,0.05530,0.24351,2.55,54156,13188,238462,585249,10.81
KY,m,1975-1979,75-79,0.07937,0.33102,2.49,40969,13561,170865,346787,8.46
KY,m,1975-1979,80-84,0.12043,0.45954,2.42,27407,12595,104580,175922,6.42
KY,m,1975-1979,85-89,0.17901,0.60297,2.29,14813,8931,49894,71341,4.82
KY,m,1975-1979,90-94,0.25172,0.73120,2.13,5881,4300,17083,21447,3.65
KY,m,1975-1979,95-99,0.34775,0.84000,1.92,1581,1328,3819,4364,2.76
KY,m,1975-1979,100-104,0.45510,0.91136,1.71,253,231,507,546,2.16
KY,m,1975-1979,105-109,0.56715,0.95240,1.51,22,21,38,39,1.75
KY,m,1975-1979,110+,0.65680,1.00000,1.52,1,1,2,2,1.52
KY,m,1980-1984,0,0.01347,0.01330,0.08,100000,1330,98778,6946310,69.46
KY,m,1980-1984,1-4,0.00065,0.00261,1.72,98670,258,394091,6847533,69.40
KY,m,1980-1984,5-9,0.00029,0.00144,2.32,98412,141,491681,6453442,65.58
KY,m,1980-1984,10-14,0.00039,0.00193,2.78,98271,190,490933,5961761,60.67
KY,m,1980-1984,15-19,0.00138,0.00690,2.9,98081,677,488981,5470829,55.78
