SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,6,1,California,Alameda County,1,0,1510271,740573,769698
50,6,1,California,Alameda County,1,1,97652,50259,47393
50,6,1,California,Alameda County,1,2,94546,48145,46401
50,6,1,California,Alameda County,1,3,91070,46403,44667
50,6,1,California,Alameda County,1,4,100394,51445,48949
50,6,1,California,Alameda County,1,5,107049,54515,52534
50,6,1,California,Alameda County,1,6,113597,56185,57412
50,6,1,California,Alameda County,1,7,114607,56256,58351
50,6,1,California,Alameda County,1,8,115275,57062,58213
50,6,1,California,Alameda County,1,9,112216,55959,56257
50,6,1,California,Alameda County,1,10,114111,56168,57943
50,6,1,California,Alameda County,1,11,108506,53431,55075
50,6,1,California,Alameda County,1,12,94648,45580,49068
50,6,1,California,Alameda County,1,13,78854,37509,41345
50,6,1,California,Alameda County,1,14,52663,24568,28095
50,6,1,California,Alameda County,1,15,37774,17060,20714
50,6,1,California,Alameda County,1,16,29185,12617,16568
50,6,1,California,Alameda County,1,17,23391,9144,14247
50,6,1,California,Alameda County,1,18,24733,8267,16466
50,6,1,California,Alameda County,2,0,1510258,740568,769690
50,6,1,California,Alameda County,2,1,97650,50257,47393
50,6,1,California,Alameda County,2,2,94546,48145,46401
50,6,1,California,Alameda County,2,3,91070,46403,44667
50,6,1,California,Alameda County,2,4,100394,51445,48949
50,6,1,California,Alameda County,2,5,107047,54515,52532
50,6,1,California,Alameda County,2,6,113597,56185,57412
50,6,1,California,Alameda County,2,7,114607,56257,58350
50,6,1,California,Alameda County,2,8,115273,57061,58212
50,6,1,California,Alameda County,2,9,112216,55959,56257
50,6,1,California,Alameda County,2,10,114109,56167,57942
50,6,1,California,Alameda County,2,11,108502,53429,55073
50,6,1,California,Alameda County,2,12,94648,45580,49068
50,6,1,California,Alameda County,2,13,78852,37508,41344
50,6,1,California,Alameda County,2,14,52663,24568,28095
50,6,1,California,Alameda County,2,15,37775,17061,20714
50,6,1,California,Alameda County,2,16,29185,12617,16568
50,6,1,California,Alameda County,2,17,23391,9144,14247
50,6,1,California,Alameda County,2,18,24733,8267,16466
50,6,1,California,Alameda County,3,0,1513043,741781,771262
50,6,1,California,Alameda County,3,1,97655,50199,47456
50,6,1,California,Alameda County,3,2,94489,48153,46336
50,6,1,California,Alameda County,3,3,90982,46397,44585
50,6,1,California,Alameda County,3,4,99688,51061,48627
